t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,43.8915334115423,35.5121470059325,464.19260597319,-16.5807954658933,0.640504733204661
8.5,NaN,NaN,NaN,58.212052495779,6.65619965432487
9.5,NaN,54.0803323073324,405.349795796114,NaN,NaN
10,37.2034561264108,NaN,NaN,NaN,NaN
20,36.2680030949351,34.6503302333402,389.999229593414,78.4882453841568,5.56963308164528
25,NaN,NaN,NaN,86.6155536483299,5.42442923919461
30,45.4290160594123,50.5716655644172,361.642080614439,NaN,NaN
35,NaN,NaN,NaN,82.3602920806027,5.9000831341123
40,NaN,56.8324594021145,485.622977000953,NaN,NaN
45,35.1913938386395,NaN,NaN,NaN,NaN
50,NaN,NaN,453.908186655875,65.9027715086154,4.0903463097639
55,NaN,42.57462474833,NaN,NaN,NaN
60,40.471027901074,NaN,NaN,62.1591605947701,3.66207955187963
65,NaN,72.7585720423404,523.702394429856,NaN,NaN
75,39.9989608457913,NaN,NaN,86.0815227881564,4.63775141751489
80,NaN,NaN,454.846576200288,NaN,NaN
85,NaN,77.2324772333878,NaN,NaN,NaN
90,NaN,NaN,NaN,75.9405836916252,NaN
95,38.425670211029,NaN,NaN,NaN,4.24955337537502
100,52.8350921082879,101.019914216952,483.912333323877,74.5557408448242,4.37609583699983
150,40.193546615615,102.687976340694,490.106094303291,87.9402605227554,3.26172316908519
200,41.0764061138753,114.375646163106,523.584847594127,86.2511535111009,3.67405692902815
