t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,45.5121428905587,-6.49816568103177,452.133195311301,17.0410050325008,-8.12835989512605
6,NaN,NaN,NaN,NaN,35.6444738110269
9.5,40.770116505014,75.87655661943,219.106504708202,293.155664523778,NaN
10,NaN,NaN,NaN,NaN,49.4286260313369
20,42.8324103888162,-5.67722310309999,122.519656016677,395.496664276615,44.2682401112688
25,NaN,NaN,NaN,NaN,32.937199527401
30,41.2434658552135,139.915690152087,168.32359696713,452.47347606176,NaN
35,NaN,NaN,NaN,NaN,44.4141694051216
40,43.0759563395435,111.147848142833,209.496820526149,497.298016757987,58.5052004141301
50,NaN,146.019016208355,196.659298410611,461.208833221456,49.8640410923175
55,46.6217592009931,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,58.1205191047677
65,58.0543363749736,206.965764362401,312.648417396328,537.598601415783,NaN
75,NaN,NaN,NaN,NaN,57.834735784906
80,62.1280868974332,320.216604754961,342.134947846839,576.992977426772,NaN
90,NaN,NaN,NaN,NaN,46.0424758003698
100,44.9257894653134,322.118170349922,479.813566070806,589.499399131078,44.1188729956625
150,64.5002634961645,483.30157428081,609.221682893452,718.959482153332,68.4207043100826
200,76.2711170533188,649.678909072184,769.455294931409,841.100984300629,NaN
