t,STAT5_Obs,pSTAT5_Obs,CISHnRNA4_Obs
0,94.3259478406363,-0.213847852504317,0.0101700642259576
5,NaN,37.0755751441722,NaN
9,22.5923416288056,NaN,NaN
10,NaN,53.7558773730018,0.0103823674323576
15,NaN,49.6520343726055,NaN
20,16.1243336909142,36.2138596988733,NaN
25,19.7128827013073,NaN,0.0432236548259146
30,NaN,27.5139606353609,NaN
35,31.2532236507575,28.4363606865376,0.101332009918886
45,NaN,17.1089190898579,NaN
50,43.2490016811586,17.7690286407385,0.191074700534938
60,59.8246698989945,13.2842861920785,NaN
65,NaN,NaN,0.208187281958655
75,75.1280840990724,7.74760165999069,NaN
80,NaN,NaN,0.14321203504945
90,75.2680239338603,8.75330925510855,NaN
100,80.0204062276222,8.86876364478659,0.117231953601626
150,70.7829386246243,NaN,0.052184569511032
200,78.1683457624773,NaN,0.0571179044579965
