t,CISHnRNA5_Obs,SOCS3nRNA3_Obs
0,0.000339557090166201,0.00112755389765416
30,NaN,0.00119569160663809
65,NaN,0.00119623551437795
75,0.000850579508703978,NaN
100,NaN,0.0010402915640897
150,0.000693952762647827,0.00106310905181834
200,NaN,0.00103338751650208
250,0.00051348741321612,0.00123990419737459
300,NaN,0.00102218511888406
350,0.000579685193319497,0.00119845034958944
400,NaN,0.00104432290435105
450,0.000590038979861432,NaN
550,0.000518321422013002,NaN
700,0.00055256927552297,NaN
850,0.000534109847723065,NaN
1000,0.00057681788989285,NaN
