t,epo_level,SOCS3nRNA2_Obs
32,6.6667e-07,0.00129199790844335
32,6.6667e-07,0.00161072248222639
32,1.3333e-06,0.00154315824860179
32,1.3333e-06,0.00163078644139657
32,2.6667e-06,0.00142712675544936
32,2.6667e-06,0.00153162520375463
32,5.3333e-06,0.00156943532397258
32,5.3333e-06,0.00179581309476723
32,1.0667e-05,0.00139514081094222
32,1.0667e-05,0.00163283793481465
32,2.1333e-05,0.0015931498877369
32,2.1333e-05,0.00188666248212622
32,4.2667e-05,0.00171684600159393
32,4.2667e-05,0.00173942183959033
