t,pEpoRpJAK2_Obs,pSTAT5_Obs,CISHRNA_Obs,SOCS3nRNA2_Obs,Compound_1_Obs
0,-0.0204546036558496,-0.212562988895812,-0.024993477227601,0.00344423582573457,3.22133663073596
20,NaN,NaN,NaN,NaN,1.24899586702062
25,0.366983590966969,24.8642667876644,NaN,NaN,NaN
30,NaN,NaN,NaN,0.195454889394762,NaN
35,NaN,NaN,0.0406899322150538,NaN,NaN
40,NaN,NaN,NaN,NaN,18.0662349905036
45,NaN,12.1180429261374,NaN,NaN,NaN
50,0.134905093556338,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,31.2019192508151
65,NaN,NaN,NaN,0.147431393738911,NaN
75,0.125723964760336,3.92460264482476,0.315017783089677,NaN,NaN
85,NaN,NaN,NaN,NaN,26.2608757390424
100,0.140364937412418,5.49921485283587,0.231567388752123,0.0881659963803713,18.785655981326
150,0.179488956710824,7.73275639843229,0.10651583732324,0.0905173141182141,13.1635017266015
200,0.195792277053307,6.00362359996389,0.169025657106936,0.0904773559390979,19.16094854023
250,0.144317260731409,9.96337434835953,0.126667025296028,0.0920554860060286,13.9944486713883
300,NaN,NaN,NaN,0.0775742847690274,13.2821059328075
350,0.182730901440281,7.83291339669973,0.146814893298698,0.0873457558791305,12.7955331011612
400,NaN,NaN,0.127360976919307,NaN,18.0181933657422
450,NaN,NaN,NaN,0.0802286958839244,NaN
500,NaN,NaN,0.132318369586225,NaN,NaN
550,NaN,NaN,NaN,0.0694700797434857,NaN
600,NaN,NaN,0.127566689649102,NaN,NaN
