t,pEpoRpJAK2_Obs,pSTAT5_Obs,CISHRNA_Obs,SOCS3nRNA2_Obs
0,-0.0052925530799975,0.00378955629976477,3.04128042818793e-05,0.0115845027020218
9.5,0.127017494523402,NaN,NaN,NaN
10,NaN,0.0172850974932328,NaN,NaN
15,NaN,NaN,-0.00127303206292568,0.0151380717793519
20,0.201438643922818,1.2450229336759,NaN,NaN
25,NaN,NaN,6.1558470926491e-05,0.0173736480717445
30,0.146018201913984,1.78960128219773,NaN,NaN
40,0.088358557333359,NaN,0.00217895331431848,0.0232326319657981
45,NaN,1.21170297304781,NaN,NaN
55,0.0630960251877397,1.00689638754814,0.00712512776193927,0.0236472548646541
70,0.0851195655907588,0.541217439951135,0.0133728116387974,0.0231849632745226
85,0.0603905798974771,NaN,NaN,NaN
90,NaN,0.514285316474928,0.0185151885562566,0.0223808946902765
100,0.0506061824185436,0.448646471174607,0.0184013026826121,0.0198429186953787
150,0.0568384568371208,0.430812362339169,0.00975495032077552,0.0147896980365928
200,NaN,0.332471016970854,0.0065924932816835,0.0133371832763064
