t,STAT5_Obs,CISHRNA_Obs,SOCS3nRNA5_Obs
0,6.32474343616619,0.000335498894748757,0.0011497280441726
15,1.84067212324556,NaN,0.00906375280068369
25,NaN,0.000234633348413329,NaN
35,3.01975534497945,NaN,0.00335922973389161
50,2.55155072418045,0.00148388385597765,NaN
55,NaN,NaN,0.00285073496617255
70,3.28820278124046,NaN,NaN
75,NaN,NaN,0.00260819959220713
80,NaN,0.00301089935630003,NaN
90,3.19043583547299,NaN,NaN
95,NaN,NaN,0.00280926473436403
100,2.51508374894521,0.00309215414627704,0.00195853044275119
150,3.35551810695432,0.00338390192434545,0.00248384866438777
200,3.32977878755804,0.00309806600781447,0.00238445295516333
250,3.80501141381946,0.00295762205360321,0.00186700372113405
300,3.71638856245807,0.00343953354485171,0.00153981151172259
350,3.40616270687808,0.00303298795398734,NaN
450,NaN,0.00276503440708713,NaN
