t,CISHRNA_Obs,SOCS3nRNA5_Obs
0,-0.000140509435556321,0.000859842607651579
20,NaN,0.005317085711254
25,0.000294839847325565,NaN
40,NaN,0.00409837138031448
50,0.00169466712290607,NaN
65,NaN,0.00292639902682165
80,0.00276696755727063,NaN
90,NaN,0.00328249951193307
100,0.00359301416752665,0.00247638496079336
150,0.00352519231328414,0.00235189239083175
200,0.00369535242288117,0.00285874328869839
250,0.00348672776423067,0.00194325697460491
300,0.00339757295114429,0.00220317315814822
350,0.00335237197624607,NaN
450,0.00300643345928956,NaN
