t,epo_level,pEpoRpJAK2_Obs
15,2.5e-09,-0.0887785611475557
15,2.5e-09,0.0418954872089375
15,2.5e-09,0.0489512878762963
15,2.5e-08,0.29609919679143
15,2.5e-08,0.327945604541068
15,2.5e-08,0.381260492466277
15,1.25e-07,0.493111323741296
15,1.25e-07,0.622449947747133
15,1.25e-07,0.674378462607676
15,2.5e-07,0.628344372320993
15,2.5e-07,0.632505464469244
15,2.5e-07,0.744990830474086
15,1.25e-06,0.920389888091187
15,1.25e-06,0.945682912900927
15,1.25e-06,1.0223671755472
15,2.5e-06,0.924636928432437
15,2.5e-06,0.959947660233238
15,2.5e-06,1.05566520558805
