t,pEpoRpJAK2_Obs,SOCS3nRNA2_Obs
0,-0.0117306589922419,0.00554167363865414
7.5,NaN,0.121866001337811
15,0.984022160558796,0.0861008176570016
25,NaN,0.0151344965075998
30,0.502877733131133,0.0141565783775307
40,0.526577696661478,0.021408841134118
50,NaN,0.0238986925753754
55,0.421728035261331,NaN
65,NaN,0.0188065253203388
75,0.471819221728641,0.0179676348619872
90,NaN,0.0142732142852175
95,0.443657359723794,NaN
100,0.426486872658602,0.0216595171120993
150,0.388197184893264,0.0179753272152221
200,0.336355439483116,NaN
250,0.333285758547762,NaN
300,0.298795874266835,NaN
