t,STAT5_Obs,pSTAT5_Obs,CISHnRNA4_Obs
0,86.6083650686742,-0.387756353484979,-0.00614004180846873
7,63.9002998710784,NaN,NaN
7.5,NaN,28.2655716278949,0.000543827061153414
15,59.2758176579095,24.3682008557456,0.00801203311043519
20,41.1529600833974,NaN,NaN
25,NaN,16.448555489791,0.0217993410285981
30,47.086646387148,12.7583567632067,NaN
35,NaN,NaN,0.0621379317651141
40,69.687797234841,8.93254400722117,0.0765054483759108
50,68.7212885397749,NaN,NaN
55,NaN,6.13738067440243,0.0936567957014264
60,86.4048598372125,NaN,NaN
65,NaN,3.15513379052793,0.0885299012926897
70,76.6006836478869,NaN,NaN
80,NaN,1.22251844059328,0.0739276464563994
85,80.1575617604405,NaN,NaN
95,NaN,NaN,0.0528038334444749
100,66.6709088353753,0.660772512033461,0.0379411898847221
150,75.6951892842574,1.67073920310998,0.00777008310009009
