t,epo_level,pEpoRpJAK2_Obs
8,0,-0.0487473145676388
8,0,-0.0435893011344672
8,4.2857e-08,-0.014420405925491
8,4.2857e-08,-0.012473696454962
8,1.4286e-07,-0.0351845932063774
8,1.4286e-07,0.072792119370938
8,4.2857e-07,0.109943588878028
8,4.2857e-07,0.113329115673936
8,1.4286e-06,0.292319862404365
8,1.4286e-06,0.295754295459821
8,4.2857e-06,0.620754414767086
8,4.2857e-06,0.629955043616236
8,1.4286e-05,0.835444566765436
8,1.4286e-05,0.913547837287568
8,4.2857e-05,0.963456900002426
8,4.2857e-05,0.982885403194432
