t,epo_level,STAT5_Obs
10,2.5e-09,15.5126649389971
10,7.905e-09,84.5260895026567
10,1.25e-08,76.1134318249775
10,1.25e-08,83.8300922474284
10,1.25e-08,75.3631846856283
10,1.75e-08,76.2882641528752
10,1.75e-08,78.9955849349735
10,1.75e-08,3.72122118504197
10,2.5e-08,6.95950018332971
10,2.5e-08,14.4352044806826
10,2.5e-08,2.38188629512936
10,3.95e-08,4.28442921047044
10,7.9e-08,3.35897853738888
10,1.25e-07,-1.66116448378173
10,1.7675e-07,9.20237443701214
10,1.7675e-07,9.62428469688387
10,1.7675e-07,60.0453364164337
10,2.5e-07,65.2050700174991
10,2.5e-07,69.1286412410116
10,2.5e-07,92.3711692214603
10,7.905e-07,44.4070743966913
10,7.905e-07,6.69821034486128
10,7.905e-07,2.11940630627327
10,2.5e-06,-2.8677777814256
10,2.5e-06,81.9614826393764
10,2.5e-06,26.8111464464461
