t,pEpoRpJAK2_Obs,pSTAT5_Obs,CISHRNA_Obs
0,-0.00790245319049156,-0.344425413425132,-0.00751422493228765
6.5,0.438117810362992,NaN,NaN
7.5,NaN,23.2557466147076,-0.00112029172125708
15,0.168019345455667,21.6416502758734,0.00301911443835348
20,0.142741836066713,NaN,NaN
25,0.11425487312901,14.6099485791846,0.0138469786820561
35,0.0684388404911733,9.2990395485046,0.05042666198585
45,0.0678626042663314,6.35454920999802,0.135076439425044
55,0.0373997712551045,5.10355498327309,0.170762602286268
65,NaN,3.20680400259158,NaN
70,0.0470221077521555,NaN,0.199654530054582
80,NaN,2.02431605867534,NaN
85,0.0413223099818627,NaN,0.170354220753462
100,0.0662676299139288,2.16682755186115,0.131895808822542
150,NaN,3.21513409155258,0.0468942612431322
