t,pEpoRpJAK2_Obs,PTP_Obs,pSTAT5_Obs
0,-0.000404259746501298,26.2978806035664,1.72038730767479
4.5,NaN,NaN,24.023563819214
9,NaN,NaN,48.1849295532419
10,NaN,25.5127656879361,NaN
15,NaN,NaN,39.0799005583421
20,NaN,NaN,35.2330525906505
25,0.298040319695597,27.8674438882428,26.4924229118333
35,NaN,24.9674616577398,16.1839495243572
40,NaN,NaN,28.417906303596
50,0.763826488489775,25.8988934183587,25.979135163158
65,NaN,21.9191155879917,NaN
75,0.782734274338694,NaN,NaN
80,NaN,26.8823677294584,NaN
100,0.959760144957413,28.2573374822329,NaN
150,1.09949943531977,23.5648057105342,NaN
200,1.24853940803072,25.5294795115883,NaN
300,1.08973975855137,NaN,NaN
350,1.20531381665828,NaN,NaN
450,1.28157890597013,NaN,NaN
