t,pEpoRpJAK2_Obs,pSTAT5_Obs,CISHRNA_Obs,SOCS3nRNA2_Obs
0,0.01282546064281,-0.452623721723729,-0.0301766818300046,0.0453801447935587
8.5,NaN,41.3994256896061,NaN,0.0205581507410227
9.5,0.784197977276307,NaN,NaN,NaN
10,NaN,NaN,-0.00855176659808672,NaN
15,NaN,35.8181326003303,NaN,0.0658098548851131
20,0.431755977543413,NaN,NaN,NaN
25,NaN,25.2241254583467,0.00433769033038594,0.176739998686782
30,0.31487787014235,NaN,NaN,NaN
35,NaN,21.7491898057423,0.11783614588045,0.222325452371388
40,0.213029951579469,NaN,NaN,NaN
50,NaN,9.96007856030277,0.236527012317263,0.222551352596191
55,0.110306569629413,NaN,NaN,NaN
60,NaN,4.69552201233968,NaN,0.18022109499879
65,NaN,NaN,0.319911027110916,NaN
70,0.127955786328284,NaN,NaN,NaN
75,NaN,5.20294674279159,NaN,0.124098281408254
85,NaN,NaN,0.277411129934419,NaN
90,0.170933940203917,NaN,NaN,NaN
95,NaN,5.07922986363272,NaN,0.076711363129946
100,0.149476239580963,5.5203924265041,0.217672669094142,0.0703443958480605
150,0.175619395475634,8.28252694712203,0.130435388755637,0.0847817686917827
