t,Epo_Obs,EpoR_Obs,dEpo_i_Obs
0,1181.00372078907,244.535582402954,0
30,703.045253365847,NaN,4.73498270389677
35,NaN,73.4268759676142,NaN
60,596.387464731698,NaN,10.3166164888392
75,NaN,57.8351062130686,NaN
90,601.465455987992,NaN,NaN
95,NaN,NaN,18.2155161173124
100,472.265998019648,65.5499687356742,NaN
150,433.387095409309,106.542733414731,41.6981882943253
200,294.579276568098,76.6066313564352,39.5717486425394
250,171.367736969007,86.4927568759151,74.4352223198423
300,114.822413452982,NaN,43.0690505924905
350,37.9090155438698,163.681980991285,43.4079594115206
400,NaN,199.261006849337,NaN
450,4.76145765089258,NaN,76.1131846507412
500,2.26536537862118,289.432487644324,NaN
550,NaN,NaN,59.9544443117764
650,0.995165099930988,350.049947592229,88.8769938634973
