t,Compound_1_Obs,Compound_2_Obs
0,1.8453028959016,1.16411269496853
25,0.570218708746486,2.70162208675976
50,2.75068691715309,NaN
55,NaN,1.60508113812743
75,1.97565317541235,NaN
80,NaN,2.73003861517181
100,2.365627410217,1.63216254358912
150,1.02509228158538,0.2453533243191
200,2.89771988889252,2.88647623116235
250,2.33929987116669,2.46906897681433
300,2.77611409463626,3.58164970825461
350,2.74985248503194,2.80684867610919
450,4.71278967027287,3.60758007559615
550,4.41115720942549,4.73068918520118
