t,Compound_1_Obs,Compound_2_Obs
0,0.97528482591924,1.45830511010885
25,NaN,0.778504706577281
30,0.258395044135728,NaN
55,NaN,0.652874535630785
60,0.123170674845965,NaN
80,NaN,0.465054164032313
90,0.472186332146059,NaN
100,0.291508834324846,0.840300909763275
150,0.51044941497982,0.858480354098715
200,0.219791572281798,0.267278903760043
250,0.39538709049724,0.619361718417112
300,0.428909054399214,NaN
350,NaN,0.675209510254817
400,0.732554247418673,0.869313443486237
450,0.594256441539131,NaN
500,NaN,1.29433062481346
600,0.590853683092371,0.902493791337506
