t,STAT_Obs,nSTAT5_Obs,Compound_1_Obs,Compound_2_Obs
0,2.06466871633204,0,1.53888058429847,0.000853893551467278
5.5,NaN,NaN,NaN,0.0307589855724359
8.5,NaN,0.0514214225365822,0.342057821040876,NaN
9.5,0.00387794931811715,NaN,NaN,NaN
10,NaN,NaN,NaN,0.270493969235455
15,NaN,0.402556212393379,NaN,0.716757391062192
20,0.0177747938111433,NaN,0.228330751228716,NaN
25,NaN,0.362370145834384,0.213234430116218,1.03742509323204
30,0.0743345322999805,NaN,NaN,0.674789531418197
35,NaN,0.188138518204925,0.474235624144313,NaN
40,0.179162412792541,NaN,NaN,0.631825857892543
45,NaN,0.26242841099457,NaN,NaN
50,NaN,NaN,0.933984295506418,0.370791579963648
55,0.935047275796578,NaN,NaN,NaN
60,NaN,0.123063880292872,1.04539216975207,0.14671752429733
65,0.704224253685237,NaN,NaN,NaN
70,NaN,0.0539604199141861,NaN,0.0524598467062455
75,NaN,NaN,1.26666253555393,NaN
80,2.36809519310331,NaN,NaN,NaN
85,NaN,0.00561927250735248,NaN,NaN
90,NaN,NaN,NaN,0.0100350550427144
95,NaN,NaN,0.94250756325696,NaN
100,0.194384330615756,0.00134569965291093,1.29959352375594,NaN
150,0.582274152136738,0.000397980891914277,1.03159880567997,NaN
200,1.09902794373484,0.000274537875400376,NaN,NaN
