t,IR_Obs,IRins_Obs,IRp_Obs,IRS_Obs,XX_Obs,XXp_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,9.98587092204696,0.450702666160226,3.35870570001638e-08,9.11924731337093,9.34442158970609,4.89143058085681e-05,-0.418350715439323,0.824629325597227,0.0716277618055555
0.75,NaN,NaN,NaN,NaN,11.7321860338105,NaN,NaN,NaN,NaN
1.5,0.0666998358364715,NaN,NaN,NaN,9.89067729258486,NaN,NaN,NaN,NaN
2,NaN,9.60548795021439,NaN,NaN,NaN,NaN,9.90507685275639,NaN,NaN
2.5,NaN,NaN,4.79112910903064e-07,9.15735704254247,10.9652412967781,NaN,NaN,NaN,NaN
3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.04134554478001
3.5,-0.0544072445202515,NaN,NaN,NaN,9.54416306942248,NaN,NaN,1.17633088958806,NaN
4.5,NaN,8.19893679686004,NaN,NaN,9.7830443653716,0.00100493985564203,8.84012831347432,NaN,NaN
5,NaN,NaN,4.00112002393458e-07,8.95740813198101,NaN,NaN,NaN,NaN,NaN
5.5,0.213747287381307,NaN,NaN,NaN,10.3453447729096,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.94414754236741
6.5,NaN,6.51965074708128,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,10.0133469760481,NaN,8.67809233892068,NaN,NaN
7.5,0.0311855400740923,NaN,NaN,8.48457254978186,NaN,NaN,NaN,3.63340183962651,NaN
8,NaN,NaN,3.53077927285851e-07,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,6.99888158040478,NaN,NaN,8.94696299737002,0.000968399712701304,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,8.06681186065479,NaN,1.02893220530453
10,-0.127371107619533,6.07162818916287,3.72324105881093e-07,8.6132577438539,9.70553306850115,NaN,7.59301246733733,3.44581861417101,NaN
15,-0.0185899557581313,4.61907902138104,3.05723485672405e-07,8.22055957726868,NaN,0.000975569615367775,6.42059509484456,4.53030762763181,1.00611743406827
20,0.244434589790398,4.3203208674162,2.63942740831584e-07,9.62238252775216,NaN,0.000767142832020119,4.95494643905898,5.83476442512415,0.855200651090039
25,0.16347444411396,3.63270704722855,1.79799611602415e-07,8.30482478841118,NaN,0.000842681681965063,5.7673456427213,6.4220113477896,NaN
30,NaN,4.23384907235277,NaN,8.58224144954279,NaN,0.000856918618232309,3.35760698417786,5.53572004051477,0.763130795392659
35,NaN,NaN,1.92630882845201e-07,NaN,NaN,NaN,3.78983687585396,NaN,0.675141002536038
40,NaN,3.25689572217763,1.46110406271011e-07,8.97930481912149,NaN,0.000797372593771226,NaN,6.25696217098803,NaN
45,NaN,1.86080799404814,NaN,NaN,NaN,NaN,5.05241243989643,NaN,0.590552145320886
50,NaN,NaN,1.38809704486838e-07,NaN,NaN,0.000632157156039042,NaN,6.46867448634966,NaN
60,NaN,NaN,NaN,NaN,NaN,0.00056866344088327,NaN,6.91179800151136,NaN
70,NaN,NaN,NaN,NaN,NaN,0.000709586421527129,NaN,7.93986632072431,NaN
