t,IR_Obs,XX_Obs,Compound_2_Obs
0,9.82475519939718,9.07485595319962,0.171982442888767
0.25,NaN,10.7833758474386,NaN
0.5,NaN,8.99222124097089,NaN
0.75,NaN,10.5695007122962,NaN
0.95,NaN,NaN,0.160352250110784
1,NaN,7.88301624863171,NaN
1.5,8.09807434389196,9.13656369966091,NaN
2,NaN,12.261861198486,0.432352853888465
2.5,NaN,9.96540254777769,NaN
3,7.27873651970979,9.87485080774974,0.374060089862063
3.5,NaN,10.0978437922701,NaN
4,NaN,NaN,0.541730658346261
4.5,NaN,9.98313162340105,NaN
5,2.15850913607396,10.6584413206183,NaN
5.5,NaN,NaN,0.803731810250429
7,0.782461691399179,NaN,1.25358911182288
8.5,NaN,NaN,2.1180331543398
9,1.07952012238227,NaN,NaN
10,1.5012378510698,NaN,2.41371394978617
15,0.665444987607111,NaN,3.37304349436755
20,1.07031542973457,NaN,4.62441791049019
