t,IPR_I1_Obs,Compound_1_Obs,Compound_2_Obs
0,1.73722742910423e-11,-0.132287903344762,1.0341406269184
0.1,NaN,0.874512202902392,NaN
0.25,NaN,1.014096452129,NaN
0.35,NaN,1.21745274586819,NaN
0.4,NaN,NaN,1.04274640170315
0.5,NaN,0.775697912927739,NaN
0.65,NaN,0.92288957465369,NaN
0.8,NaN,NaN,1.09243414151972
0.85,NaN,0.965682753983412,NaN
1,NaN,0.911014087853047,1.02555400590406
1.5,NaN,NaN,0.929277508367325
2,NaN,NaN,0.941178370753329
2.5,NaN,NaN,0.948191555305159
3.5,3.30024611416247e-09,NaN,0.813628586188833
4,NaN,NaN,0.817964418360581
5,NaN,NaN,1.14275867267705
6,NaN,NaN,0.999489571407038
7.5,-6.41732564539947e-11,NaN,NaN
10,1.25167030024259e-11,NaN,NaN
20,1.09183791829352e-10,NaN,NaN
