t,IPR_I1_Obs,Compound_1_Obs,Compound_2_Obs
0,3.1587926358368e-09,0.115004381013426,1.00765947325203
0.09,NaN,0.881106282060605,NaN
0.2,NaN,0.971867728682579,NaN
0.3,1.55164277837167e-07,0.874568453930917,NaN
0.35,NaN,NaN,0.544987580176063
0.4,NaN,1.00384819287805,NaN
0.5,NaN,0.854488758627215,NaN
0.65,9.82067354378843e-08,1.14830389497987,NaN
0.7,NaN,NaN,0.296850131030279
0.85,NaN,0.97900991264821,NaN
0.95,6.54848984754294e-08,NaN,NaN
1,NaN,1.02100096021821,0.358926961521233
1.5,3.18221249068909e-08,NaN,0.288298152017875
2,1.80557027057321e-08,NaN,0.258524940541957
2.5,1.42945719872947e-08,NaN,0.322545280042708
3,7.38783367621873e-09,NaN,0.271610301124552
4,-9.30731690072286e-10,NaN,NaN
4.5,-1.54398867386226e-09,NaN,NaN
5.5,9.00125812034193e-10,NaN,NaN
