t,IPR_I1_Obs,Compound_1_Obs,Compound_2_Obs
0,1.30522945406989e-08,0.034779756373508,1.04904358030203
0.075,NaN,0.703278408805929,NaN
0.15,NaN,0.882980576185045,NaN
0.25,NaN,0.939416254478971,NaN
0.3,4.91467692572025e-07,NaN,NaN
0.35,NaN,0.957704458491983,0.795606529228888
0.45,NaN,1.2241067118456,NaN
0.55,NaN,0.946192823054329,NaN
0.65,2.89241031292935e-07,NaN,NaN
0.7,NaN,1.06347420341776,0.886705800405402
0.9,NaN,0.996911267189608,NaN
1,1.8727859696759e-07,NaN,0.910224366278973
1.5,8.35096101851164e-08,NaN,0.677934954959875
2,5.60571536064434e-08,NaN,0.811817735922312
2.5,3.78158347415712e-08,NaN,0.833687282395196
3,4.09365622683915e-09,NaN,0.665298157974489
4,2.56722913032895e-08,NaN,0.736887207883554
4.5,-1.75302533821849e-08,NaN,0.643999632915575
5.5,1.62061876247157e-08,NaN,0.87135473502038
6.5,8.42969649037463e-09,NaN,NaN
