t,IPR_I1_Obs,Compound_1_Obs,Compound_2_Obs
0,7.76350665076413e-09,-0.0231665871844007,1.00105111675736
0.095,NaN,0.936194832007659,NaN
0.2,NaN,1.05175434810042,NaN
0.25,NaN,NaN,1.2321741115363
0.3,NaN,0.893386566534847,NaN
0.35,2.6718545091027e-07,NaN,NaN
0.4,NaN,1.03150121028069,NaN
0.5,NaN,NaN,1.02063272090383
0.55,NaN,0.97080969785681,NaN
0.65,1.67785075484237e-07,NaN,NaN
0.7,NaN,0.827419142438058,NaN
0.8,NaN,NaN,1.02572998571168
0.85,NaN,0.993803359514387,NaN
1,1.02016176082406e-07,0.998651734950282,0.703726227061224
1.5,5.09946563875166e-08,NaN,0.923052474976798
2,2.93951768480967e-08,NaN,0.869900632142525
2.5,1.51559155303695e-08,NaN,1.02639988435596
3,1.09300135949922e-08,NaN,1.04910370769949
3.5,6.35309699117646e-09,NaN,NaN
4,-3.00291259440348e-09,NaN,0.995491399016167
4.5,NaN,NaN,0.963316068701646
5,2.66513857913755e-09,NaN,NaN
6,7.46469706364393e-09,NaN,NaN
