t,IPR_I1_Obs,Compound_1_Obs,Compound_2_Obs
0,-5.94110573425737e-09,-0.00133886284691737,0.958453760459498
0.095,NaN,0.86424761484987,NaN
0.2,NaN,1.14049791962053,NaN
0.25,2.61592364862358e-07,NaN,NaN
0.3,NaN,1.06648259947595,NaN
0.35,NaN,NaN,0.8595860322936
0.4,NaN,0.907629825002111,NaN
0.5,1.93271652649972e-07,NaN,NaN
0.55,NaN,0.873473898552819,NaN
0.7,NaN,0.942994120747065,NaN
0.75,1.25435522944839e-07,NaN,0.797558659189561
0.9,NaN,1.09546275808409,NaN
1,9.00090100846071e-08,NaN,0.705893985404494
1.5,3.33036757136945e-08,NaN,0.805212527829258
2,2.09081986486027e-08,NaN,0.832614397893119
2.5,5.82544629467402e-09,NaN,0.710893195308524
3,1.68438400152281e-08,NaN,0.729701064392568
3.5,7.91954365071738e-09,NaN,NaN
4,1.31749696643772e-08,NaN,0.738796063746713
4.5,NaN,NaN,0.731308226216223
5,7.64379588537703e-09,NaN,NaN
5.5,NaN,NaN,0.720023142485417
6.5,NaN,NaN,0.778728655512277
