t,IPR_I1_Obs,Compound_1_Obs,Compound_2_Obs
0,-9.53995834845153e-09,-0.0602194544592137,1.23384403486466
0.1,NaN,0.548224292856799,NaN
0.2,NaN,0.944224618605047,NaN
0.3,8.06723476128622e-07,0.854132569996696,0.99660228275337
0.45,NaN,0.949847688305704,NaN
0.6,5.9597275014121e-07,0.809812430409017,0.887807652379136
0.75,NaN,0.977168529633107,NaN
0.9,3.92993636012385e-07,NaN,0.803869950201306
1,2.92589584026851e-07,1.0217957604453,0.796302486408912
1.5,1.85332119913573e-07,NaN,0.912524136420274
2,4.72528109057035e-08,NaN,0.689582336279302
2.5,5.78343542786768e-08,NaN,0.706579806291994
3,1.16363458605756e-08,NaN,0.81208087194577
3.5,NaN,NaN,0.763681138750181
4,5.29079814956028e-08,NaN,NaN
4.5,-5.1623890777137e-09,NaN,0.688088643538647
5,NaN,NaN,0.676682757285335
5.5,9.99922057403099e-09,NaN,NaN
