t,IPR_I1_Obs,Compound_1_Obs,Compound_2_Obs
0,-6.68518720525778e-09,-0.0183864441459958,1.07350357928862
0.1,NaN,0.82270387379898,NaN
0.2,NaN,0.954044430216031,1.11683998711195
0.3,2.7046889565676e-07,NaN,NaN
0.35,NaN,1.02986487350202,NaN
0.4,NaN,NaN,1.10129416408406
0.45,NaN,1.06971341398294,NaN
0.6,1.7350430560109e-07,1.03859567517616,NaN
0.65,NaN,NaN,1.35034198919136
0.8,NaN,0.987556727222831,NaN
0.85,NaN,NaN,1.18186501425421
0.95,1.13119268332219e-07,NaN,NaN
1,NaN,1.04536148456702,1.1108949746185
1.5,5.28803916855625e-08,NaN,1.2117168115197
2,4.03370561903332e-08,NaN,1.01089590055986
2.5,1.2347195013545e-08,NaN,1.06392198321443
3.5,-6.14272022940619e-09,NaN,1.08155078363716
4,-1.09179963600591e-08,NaN,NaN
5,1.41471312989418e-09,NaN,NaN
