t,EpoRJAK2_Obs,STAT5_Obs,CISRNA_Obs
0,5.38374722730982,116.868172106775,0.00517066533537683
5.5,4.13097744250239,NaN,NaN
7.5,NaN,-5.68246945566454,NaN
10,3.90680543689785,NaN,-0.000159081876814837
15,4.36405206637571,5.88625022907896,NaN
25,2.88612492396972,20.8165733271103,0.00321752697654101
30,4.03763502381898,25.6031852306381,NaN
35,4.07783618920948,NaN,0.0102392906544903
40,NaN,32.2399860713174,NaN
45,3.43319250917691,NaN,NaN
50,NaN,44.2729505483041,0.0318714838618859
55,5.07303978923847,NaN,NaN
60,NaN,45.4405408982571,NaN
70,4.96329095952998,NaN,0.0370843897383663
75,NaN,61.0913708021743,NaN
85,5.28383985728641,NaN,0.0634180866052135
90,NaN,54.2688022190713,NaN
100,5.14766295674294,59.6478997474891,0.0685145766115468
150,NaN,63.351706383302,0.0612125668020717
200,NaN,81.8187578401314,0.0594413240170208
