t,EpoRJAK2_Obs,SHP1_Obs,STAT5_Obs,pSTAT5_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs,Compound_1_Obs
0,4.79643848693072,43.3692314426266,93.8293659802004,1.23349243715532,0.00550008442365095,-5.06396384801186e-05,1.820891364526e-05,-28.9892823241941
15,6.88343960401621,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,6.66543267659484,42.0660692730177,NaN,NaN,NaN,NaN,NaN,158.914740869101
30,NaN,NaN,41.6520361465245,59.692894165955,-0.00125982322892958,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,0.000363535794517633,NaN
40,7.76148861368784,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,38.089454997234,NaN,NaN,NaN,NaN,NaN,519.314022573497
55,6.35946799069028,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,42.3507998160752,NaN,0.000368901505140227,NaN,NaN
65,NaN,NaN,73.0150603003739,NaN,0.0278401021851951,NaN,NaN,NaN
75,4.84870865835491,NaN,NaN,NaN,NaN,NaN,0.000340439400576028,NaN
80,NaN,38.8260839301873,NaN,NaN,NaN,NaN,NaN,625.036685997027
90,NaN,NaN,NaN,31.9066944833669,NaN,NaN,NaN,NaN
95,3.40797602543287,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,6.35561076282958,39.7325940477678,82.6531308371703,42.4352946734077,0.0411914709971067,NaN,0.000284750862183343,609.054210404709
150,5.42394824972355,23.2635782585864,75.8124508619928,28.7591996184414,0.0449637850318482,0.000168322709786812,0.000134143606879147,451.439171182194
200,4.36799011811269,49.0143272740564,82.0697717970935,24.6950675420397,0.0290909442689753,0.00013384233777794,0.000200819122542863,320.664687763026
250,5.97255969421145,NaN,93.7834847372783,19.0307429594008,0.0127579473105103,NaN,8.07605386443829e-05,222.046166225696
300,NaN,NaN,NaN,20.2929287589196,0.0270623978801689,0.000141326450526536,NaN,361.103472551786
350,NaN,NaN,75.9784349428789,NaN,0.0230604813549445,0.000170918379538754,0.000181811166561275,186.782615924411
400,NaN,NaN,87.0947611003951,17.2912478465111,NaN,NaN,0.000192331152864586,290.435139124229
450,NaN,NaN,NaN,23.0102836848069,0.0224492787753726,NaN,NaN,NaN
500,NaN,NaN,103.694145139968,NaN,NaN,0.000142785482301848,0.000122937280864343,427.001267554635
550,NaN,NaN,NaN,27.002529172088,0.0122845829912494,NaN,NaN,NaN
600,NaN,NaN,108.208992713032,NaN,NaN,5.59649233502905e-05,NaN,NaN
800,NaN,NaN,NaN,NaN,NaN,0.000175973058822807,NaN,NaN
