t,EpoRJAK2_Obs,SHP1_Obs,STAT5_Obs,pSTAT5_Obs,CISRNA_Obs,Compound_1_Obs
0,6.50116503366152,39.5293044238412,129.759727177578,0.477385560118288,4.69629903014506e-05,-6.63340761215815
6.5,NaN,31.7165670960492,NaN,NaN,NaN,NaN
10,6.60110419745625,NaN,118.086909285865,1.23162625182325,NaN,NaN
15,NaN,36.573599842298,NaN,NaN,-0.000532585121344226,-7.55510305133578
20,4.17924139276903,44.742031152165,144.513003760768,NaN,NaN,NaN
25,NaN,43.9223267153901,NaN,2.2187575551077,NaN,0.242184640729187
30,NaN,NaN,104.537045675,NaN,0.000298809522976022,NaN
35,7.12447097717888,32.4484606575372,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,3.35034114298676,NaN,11.0948863993414
45,4.46388036586645,53.883435159194,153.356294148726,NaN,-0.000135150426783304,NaN
50,NaN,36.4110768419777,NaN,2.46033945614684,NaN,NaN
55,NaN,NaN,135.500970503477,NaN,NaN,NaN
60,6.25207445933552,NaN,NaN,NaN,NaN,18.0348283035191
65,NaN,52.5192022852128,NaN,NaN,0.000213416284924638,NaN
70,NaN,NaN,92.9302475118605,3.62518888940252,NaN,NaN
75,NaN,33.0282021420964,NaN,NaN,NaN,28.1747411515068
80,4.22663358946978,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,133.372016209867,2.49193559734745,0.00139811012832072,NaN
90,NaN,41.3145149693879,NaN,NaN,NaN,NaN
95,6.32603654022175,NaN,NaN,NaN,NaN,32.3442089908304
100,5.6285790556427,55.1147710015735,125.562412781091,3.01379971510685,0.00235480631175869,41.2062401808443
150,5.14677016088528,NaN,130.680768758754,2.98885052993618,0.00283802921123777,39.851392921057
200,5.25232430899889,NaN,128.611665926616,3.18156155394249,0.0032759480981495,50.7622413837034
250,NaN,NaN,96.2402516858481,3.23592196170038,NaN,37.9757800803803
300,NaN,NaN,40.5727052017248,2.17725048447903,NaN,33.0712658336956
