t,epo_level,Compound_1_Obs
19,2.5e-09,23.193461436489
19,7.905e-09,17.8324477718509
19,1.25e-08,18.4942252717264
19,1.25e-08,1.23353001323705
19,1.25e-08,3.09136516042839
19,1.75e-08,2.44086049522549
19,1.75e-08,10.4252076312949
19,1.75e-08,2.06724273199186
19,2.5e-08,3.12813002831458
19,3.95e-08,24.6413104520296
19,7.9e-08,68.1943477774769
19,7.9e-08,31.8539803892991
19,7.9e-08,34.6912778135084
19,1.25e-07,36.4879243308664
19,1.25e-07,6.01639775154329
19,1.25e-07,-0.535538722130348
19,1.7675e-07,7.34169783900634
19,2.5e-07,53.4231854223199
19,2.5e-07,2.2621878215696
19,2.5e-07,17.650423645603
19,7.905e-07,17.9094558484451
19,2.5e-06,15.4526657434009
