t,EpoRJAK2_Obs,STAT5_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,Compound_1_Obs
0,4.59741410897102,138.26474034012,-0.00250532473760598,1.43906539576657e-05,-64.5806276065068
5.5,3.80473284044064,NaN,NaN,NaN,NaN
6,NaN,114.418212926872,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,24.9619323965465
10,5.01709012096516,77.9299645981603,-0.000795010726144047,9.10412084305331e-05,NaN
15,7.20689851985881,NaN,NaN,NaN,16.0555107393021
20,NaN,86.3085657149568,NaN,0.000167125508626708,NaN
25,3.98452036565434,116.961674794449,-0.00153814534560372,NaN,45.7141374238305
30,7.27321194448678,NaN,NaN,0.000210539261459591,NaN
35,6.61150890514759,110.528790565777,0.00338618763918746,NaN,109.823784002082
40,NaN,91.2366524112092,NaN,0.000253094989723651,NaN
45,6.16741690711874,NaN,NaN,NaN,204.212548443076
50,NaN,96.096740759024,0.00465706918814167,NaN,NaN
55,4.53572759417391,NaN,NaN,0.000210561739757267,NaN
60,NaN,90.6727259201706,NaN,NaN,193.581595477851
70,7.29510637653473,NaN,0.0101283607491754,0.000216384151017922,322.723575101739
75,NaN,79.8924045965348,NaN,NaN,NaN
80,8.14348122650476,NaN,NaN,NaN,NaN
85,NaN,NaN,0.0192505926207916,0.000185086432891623,NaN
90,NaN,123.074553864662,NaN,NaN,287.612672491863
100,6.04476493698065,124.133739279266,0.0208582230523589,9.98567883875645e-05,374.324034098933
150,NaN,90.9527149616363,0.0270107729972503,0.000128607791355199,294.470705743724
200,NaN,NaN,0.0252054284135053,0.000128211644900639,181.220565001033
