t,epo_level,SOCS3nRNA5_Obs
160,2.5e-09,4.25483441157563e-05
160,2.5e-09,4.28597616905221e-05
160,2.5e-09,5.73249828406055e-05
160,2.5e-08,0.000110747441323761
160,2.5e-08,0.000146845016301871
160,2.5e-08,0.00015332398366643
160,1.25e-07,0.000164594139833494
160,1.25e-07,0.000166483370754329
160,1.25e-07,0.000211618855270535
160,2.5e-07,0.000221422758610003
160,2.5e-07,0.000223856270202535
160,2.5e-07,0.000270583190222003
160,2.5e-06,0.000333075174713717
160,2.5e-06,0.000374749324331229
160,2.5e-06,0.000411857189271551
