t,EpoRJAK2_Obs,STAT5_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,Compound_1_Obs
0,5.99399713138581,127.106926415008,-0.000774896410226797,2.07459638923157e-05,109.080621548529
6.5,5.2010059548124,NaN,NaN,NaN,NaN
8,NaN,49.127467860852,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,-45.3373697287447
10,NaN,NaN,-0.0075711845144938,0.000101220637971414,NaN
15,5.2867737123732,47.4746705089512,NaN,NaN,-150.264845410919
20,4.17173238555573,NaN,NaN,0.000425190699077604,NaN
25,NaN,51.386806698759,0.00563191977218712,NaN,1.45287635562431
30,6.089279601045,NaN,NaN,0.000417256018408095,NaN
35,5.41283228790803,60.2171165127431,-0.00541530496176533,NaN,182.491426720139
45,5.80125852864882,67.0019728832439,NaN,0.000320786651668955,444.516195379575
50,NaN,NaN,0.0129055009520461,NaN,NaN
55,NaN,86.1116595424462,NaN,0.000329324053236142,496.41326065731
60,4.69454091853088,NaN,0.022740937999484,NaN,NaN
70,4.69063956424844,79.1975850331516,NaN,0.000396315378435615,595.514943838558
80,NaN,NaN,0.0347402661549637,NaN,NaN
85,4.84915829291455,57.0125722978306,NaN,0.000327172401822915,584.52655137605
100,6.41306753171018,101.622708710164,0.0494661578019852,0.000339291047302573,644.622654337904
150,NaN,117.3508136345,0.0433070536509441,0.000228353642663659,454.880956706579
200,NaN,98.8070665893635,0.0340952839991627,0.000160931035050836,259.08098001276
