t,EpoRJAK2_Obs,SHP1_Obs,STAT5_Obs,pSTAT5_Obs,CISRNA_Obs,Compound_1_Obs
0,6.03128933039989,21.2597072205604,115.048834968198,-4.60540563121921,-0.000195528408679896,-74.8699445254413
8,NaN,40.1260745900454,NaN,NaN,NaN,NaN
9.5,6.28439187574788,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,102.526252574718,NaN,NaN,52.3467751877278
15,NaN,46.5696425180726,NaN,18.2582051504588,0.00212229341664154,NaN
20,6.57948275799356,NaN,NaN,NaN,NaN,NaN
25,NaN,39.4120483589595,97.6289436677709,28.1354529808384,-0.00128367230990908,5.96577743593505
30,5.27572586621057,NaN,NaN,NaN,NaN,NaN
35,NaN,53.7447288100594,NaN,NaN,NaN,101.978634378752
40,4.91059582793009,NaN,88.4176240021701,14.4079918318631,0.00266955511423655,NaN
45,NaN,41.319261091738,NaN,NaN,NaN,NaN
50,NaN,NaN,103.897598067519,NaN,NaN,78.0605828196803
55,5.36995921748961,39.5972266274834,NaN,31.1749214232493,NaN,NaN
60,NaN,NaN,NaN,NaN,0.00874755392463965,163.742161029785
65,4.41176769109378,43.1609822742111,NaN,NaN,NaN,NaN
70,NaN,NaN,59.2647756822233,30.2636265921581,NaN,NaN
75,NaN,NaN,NaN,NaN,0.00528076925282378,178.614289734066
80,NaN,51.7711358101784,NaN,NaN,NaN,NaN
85,4.98307861462173,NaN,56.2237785819696,31.1759954837358,NaN,NaN
95,NaN,53.8866257130972,NaN,NaN,0.0158032369297085,359.947879386964
100,5.49430382792641,43.2974493555446,81.1421298005429,28.3806881392387,0.02087141976976,307.927641958661
150,6.83993768160437,33.2957075611835,109.62417444106,19.934761353204,0.030972427454493,346.687499115185
200,6.60712185357752,NaN,125.646035630629,28.5446773202693,0.0274044389512339,427.706992977065
250,NaN,NaN,105.006771903318,22.7261877164901,NaN,296.618946094852
300,NaN,NaN,115.180746056315,22.8284990511761,NaN,241.408498296322
