t,EpoRJAK2_Obs,STAT5_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,Compound_1_Obs
0,6.14879523039452,124.577952107414,0.000392197029767527,-1.4035508460123e-05,-14.755643079918
6,2.66819241992961,110.987517362152,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,-13.1023287749101
10,7.5388046250346,102.973923489854,-0.000315618597061318,6.89929144557113e-05,NaN
20,6.14679350369788,91.3591088730958,NaN,NaN,15.6719678809651
25,6.6100634726922,89.2156268169248,-0.00178812150950487,0.000245223757512559,NaN
30,NaN,NaN,NaN,NaN,60.6541042622891
35,3.23346549454436,43.1556318112121,0.00322183209636992,0.000275059406086406,NaN
40,NaN,84.9995143724145,NaN,NaN,89.5581854933761
45,4.34621904996342,NaN,NaN,NaN,NaN
50,NaN,96.8911144633398,0.00612127590856295,0.000229376187603624,142.196269495903
55,7.42063945607049,NaN,NaN,NaN,NaN
65,4.97237224370619,84.7371679711322,NaN,0.000202587013655075,217.595511952475
70,NaN,NaN,0.0101907936179204,NaN,NaN
75,NaN,107.514829558156,NaN,NaN,NaN
80,5.30062253930316,NaN,NaN,0.000172998471341247,329.634406070089
90,NaN,94.6225688350813,0.017282742096409,NaN,NaN
95,5.8593820894329,NaN,NaN,NaN,NaN
100,6.88922727848317,97.1419434004565,0.023627688476703,0.000219665670130393,327.863857279802
150,NaN,84.7890817825555,0.0279135383738862,0.000109436011655482,284.21274214111
200,NaN,NaN,0.024197418741197,0.00012549830791562,194.137981959627
