t,EpoRJAK2_Obs,SHP1_Obs,STAT5_Obs,pSTAT5_Obs
0,5.92874951756164,58.2508009958058,113.748137370667,-0.957527887203557
9.5,NaN,52.7899149104198,NaN,NaN
10,5.39337929334772,NaN,NaN,NaN
15,NaN,NaN,8.1195067425787,NaN
20,4.36531534157154,46.3783401430571,NaN,79.8129436661743
30,NaN,45.6918444276991,39.5516802766084,NaN
35,5.26487235852409,NaN,NaN,75.1650978768531
40,NaN,48.0940994471738,NaN,NaN
45,3.57286765010497,NaN,65.0159514940153,NaN
55,NaN,47.2191898126183,NaN,60.7389889503525
60,4.34164578790179,NaN,NaN,NaN
65,NaN,NaN,64.4460276856574,NaN
70,NaN,32.9015359766168,NaN,NaN
75,NaN,NaN,NaN,56.3931542396379
80,5.3425160683937,NaN,NaN,NaN
85,NaN,NaN,60.9175901843566,NaN
90,NaN,45.8220553774426,NaN,NaN
100,4.92652737249255,NaN,62.2611105931393,57.3658592682767
150,5.97804817891328,NaN,94.7924639570878,45.4570048343942
200,4.74062689679988,NaN,66.2484676532242,37.4972496177592
250,NaN,NaN,101.73820357795,28.7657820222214
300,NaN,NaN,79.0997573998266,32.3687581341714
350,NaN,NaN,99.1499730265786,28.9903866629229
