t,EpoRJAK2_Obs,SHP1_Obs,STAT5_Obs,pSTAT5_Obs,CISRNA_Obs,Compound_1_Obs
0,4.89170773605636,21.3237759009535,121.386207678143,-0.42392873943263,-0.000204449489917635,-2.46194509951501
5.5,NaN,49.0177171025777,NaN,NaN,NaN,NaN
9.5,5.41328161603881,NaN,NaN,NaN,NaN,NaN
10,NaN,23.3607437971104,83.537208557539,NaN,NaN,2.67024955584941
15,NaN,NaN,NaN,1.81904196616098,0.000338331091746531,NaN
20,5.29310092972881,53.153470121429,133.224774327155,NaN,NaN,NaN
25,NaN,40.0476502169876,NaN,NaN,NaN,1.2258496978747
30,5.42888296519197,35.3513991029473,NaN,3.05558320747936,3.07813859280421e-05,NaN
35,NaN,NaN,97.0813490200037,NaN,NaN,NaN
40,2.84770450155666,50.7193327122152,NaN,NaN,NaN,2.53493211463525
45,NaN,NaN,157.947388397406,2.15389653309916,0.000286482949985136,NaN
50,NaN,43.1766976819723,NaN,NaN,NaN,NaN
55,4.00043565594077,NaN,NaN,NaN,NaN,17.0721863149655
60,NaN,51.2181921892496,126.390060324202,3.23560895659138,NaN,NaN
65,NaN,NaN,NaN,NaN,0.000749189865203734,NaN
70,5.97710208866657,NaN,125.694328961811,NaN,NaN,21.6576186528157
75,NaN,42.6817395667872,NaN,4.06229719189269,NaN,NaN
85,6.17308587674459,NaN,NaN,NaN,0.00138916966941422,NaN
90,NaN,36.0569737100788,163.422345918612,NaN,NaN,37.0417038432244
100,6.39184088129683,44.2119879336128,90.8282502349987,1.91986195215759,0.00239530689571869,30.9755903602924
150,4.71094513688955,NaN,116.303043214277,3.03936507076595,0.00302316532072406,44.5474830716453
200,NaN,NaN,109.183164012437,3.39497603151231,0.00341117303494219,43.7323506497945
250,NaN,NaN,121.12999539474,4.05227494295251,NaN,42.9821692435654
300,NaN,NaN,153.689336043906,2.7481311378646,NaN,33.7553960474985
