t,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,6.60453268954084e-05,0.00157736569010456,16.9098806211911,0.00114316348482733,0.0633489329119411,0.115918590772811,0.903234912790195,0.923923974189352,0,1.02796585117847,0.880860368591367,0,0,5.71522045102211e-06,0,0.104720672400173
4.5,NaN,NaN,NaN,NaN,NaN,NaN,24.97591494247,6.33614907529745,NaN,1.04368183763358,1.09875905645536,NaN,NaN,NaN,NaN,NaN
5,0.101151735693711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.05016059171808,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.5,NaN,0.810113746053759,NaN,NaN,NaN,5.78311711856527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,46.3190104787695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000244143257927611,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,254.9151707246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.5841474618154,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,103.405160212898,NaN,NaN,5.36330217319879,NaN,NaN,NaN,NaN,0.556081094099726
10,0.0518281699340902,0.525312428918928,16.2587315104826,0.0997283855110687,45.5021959941007,14.0042392866464,NaN,NaN,64.6041752590449,NaN,NaN,NaN,0.00269491191489322,0.00200781689324034,0.00153393725196684,NaN
15,0.0423565614933578,NaN,NaN,NaN,NaN,NaN,1394.83116095588,396.726849812355,476.443180933413,182.735824270012,106.362373287475,0.00591072448948524,NaN,NaN,NaN,NaN
