t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs,p1EpoRpJAK2_Obs,Compound_1_Obs
0,3.03885203848744,0.000117842872672556,8.33312394158083e-05,33.6739404313777,0.00135434922237675,0.0840636850745348,0.19966533518157,1.27351504212513,0.684367300405138,0,0.55207209416242,0.719526790826886,0,0.0118553936193195,0,1.16385889966961e-06,0,9.0783432374043e-07,9.60412061602615e-07,0,0.00944218149504936,0,95.775787323772
20,NaN,NaN,NaN,19.3931155670594,NaN,NaN,NaN,NaN,NaN,686.637027435203,NaN,NaN,NaN,0.186628201840841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,0.970027927388192,NaN,NaN,NaN,NaN,NaN,30.317676483179,1027.66270762842,NaN,NaN,NaN,559.240163109232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0106288859550123,NaN
30,NaN,0.0646779198124644,0.0368190037614189,NaN,NaN,31.1280954777723,NaN,NaN,1154.22536375424,NaN,549.618293574037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.1814098486944,NaN,67.3971807172354
35,NaN,NaN,NaN,20.1727760142355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.170345695427516,NaN,NaN,NaN,0.00230230329990705,NaN,NaN,0.0414773609531154,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,0.110710417899241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00378255225362474,0.00146784666751622,NaN,0.00177301612831815,0.00178158955775082,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,960.585640368769,NaN,758.654522057176,NaN,2.85245158792717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,2.77509675168966,NaN,NaN,NaN,NaN,NaN,21.0075335039789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,0.0410298795635002,NaN,NaN,NaN,NaN,NaN,634.190475791273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.88803552171,0.00747187972538803,NaN
60,NaN,NaN,0.0178783002303791,21.0317851710156,NaN,19.2969393360599,NaN,NaN,1138.03353007853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.3439422886013
65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,887.407012349638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1063.15303199008,NaN,NaN,NaN,3.41621321053688,NaN,NaN,NaN,NaN,NaN,0.0720504470858539,NaN,NaN,NaN
75,2.59166956402706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,599.351408612049,0.369710359191107,NaN,NaN,NaN,0.000983660765489009,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,17.9431583631366,NaN,NaN,12.8631167671294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00102359169802925,NaN,NaN,0.000461728860623755,0.000598998713703724,NaN,NaN,0.0109550118657664,NaN
85,NaN,NaN,NaN,NaN,0.18382559219953,NaN,NaN,326.313608904596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0008514476930566,NaN,NaN,NaN,NaN,17.5836318309238,NaN,NaN
90,NaN,0.0682130251477037,0.0152488098458165,NaN,NaN,NaN,NaN,NaN,435.159779639653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,8.45711439515241,NaN,NaN,NaN,577.866961804967,NaN,NaN,NaN,6.7635467433393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.1211577281937
100,2.02751856526999,0.0389644440235819,NaN,21.17435762241,NaN,NaN,8.15423644898281,341.930991092604,NaN,NaN,293.988999872922,206.133903883539,0.0614667882880352,NaN,NaN,NaN,0.000190578517658405,NaN,NaN,0.0789771595172909,21.6525198570988,0.0091475855332715,NaN
150,2.07615463848401,0.0668242531635741,0.0158693552336245,15.5806530518858,0.306044898370389,9.8096377113932,3.20177172174782,201.064543312674,163.396875591111,109.351991570001,175.868939772207,439.339747367645,0.035866789121021,5.85305764024443,0.000468914004712056,0.000402430053150885,0.000505301256878483,0.000327473437587099,0.000758437484235775,0.0331612431243744,12.8447124477409,0.0103963209934267,88.83391934205
200,2.00339416537592,0.0659229810833594,0.0194566495357354,NaN,0.297356930176082,12.1993303100047,5.88416396764147,372.976818855645,111.83219620833,262.288024184784,191.075487958186,269.50219873777,NaN,12.0912340313199,0.000459727285549236,0.000468701219257533,NaN,0.00050190431415677,0.000463495180073867,0.0398087445508631,6.94894797389535,0.0149862584064404,153.738516254519
250,3.50947959211006,0.0395798017103025,0.0154032466303818,NaN,0.23843742437026,7.38087269663409,6.8848406402943,191.369767367411,NaN,473.522080965867,187.570814976698,434.384088469045,0.0234999683273783,6.84506229805756,0.00085166197802097,0.000465600835003724,0.000320675019492248,0.000347049846893593,0.000730482151253169,0.0312164837195703,9.53469885852973,0.00453264953704675,177.82106644737
300,2.38601565705444,0.0780648023946714,NaN,NaN,0.280299796312562,14.669503879518,NaN,NaN,292.520621875248,NaN,NaN,NaN,0.0452428843711147,6.44200529917489,0.000550307213166252,0.000820235142301682,0.00048554940867833,0.000757802143831884,0.000530926511907726,0.0291479552757901,8.04723235425011,0.0103171647954454,NaN
350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,399.323286286688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.97750745164698,0.0037122831346032,NaN
400,2.30151203968013,0.0486631552687942,NaN,NaN,0.218010733148613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0478284724554049,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,0.352730425697711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.57967115721234,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0370967609881146,7.81498614093564,NaN,NaN
600,NaN,NaN,NaN,NaN,0.417417727002404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,0.198431856421242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
