t,CISnRNA3_Obs,CISnRNA4_Obs,CISRNA_Obs
0,0,0.833753944524005,0
5,NaN,2.66780196573794,NaN
6,45.0418560572234,NaN,NaN
8.5,NaN,NaN,0.00224090922483504
9.5,NaN,43.3112259157158,NaN
10,140.071802691253,NaN,NaN
15,NaN,269.612396071859,0.0271663700723734
20,1699.06885871369,946.554181445832,NaN
25,1831.76712529364,1201.81204316785,0.138377739845318
30,NaN,2475.50287032196,NaN
35,977.897474801565,NaN,0.198535230390327
40,NaN,1815.36163109352,NaN
45,1592.1750650639,NaN,NaN
50,NaN,1903.81985161356,0.324361007142829
55,2204.69507441405,1129.59491004183,NaN
60,NaN,NaN,0.182506637632828
65,1590.35524676627,1474.95357916735,NaN
75,NaN,NaN,0.119519203796445
80,857.586246693557,567.67919070099,NaN
95,NaN,412.063141034885,0.141501705555841
100,445.705066312424,665.83086983161,0.140308242807717
150,NaN,NaN,0.0514299692362533
