t,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.000135083108712027,0.000137831956270177,19.7063087828452,0.000672171754085242,0.0859444875245973,0.177451486963254,1.07716520169641,1.60668182345866,0,0.543171629738355,0.866258576900962,0,0,1.80736790318716e-05,0,0.0120009657930363
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.59333548411876,NaN,NaN,NaN,NaN,NaN,NaN
4.5,NaN,NaN,NaN,NaN,NaN,NaN,68.8140993524525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,0.364787457865428,NaN,NaN,NaN,NaN,NaN,NaN,1.53764331268414,NaN,1.10513380571458,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,79.5374640928816,7.39045231150787,NaN,19.7295841873553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,0.0497031035976195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.86556728156253e-05,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.14717179118552,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000577284689198539,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,541.4904813048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,0.223430592750285,61.3474528427188,0.183150540861821,55.5013016543038,13.0360219144312,NaN,103.915582199148,42.0047288191923,38.530070879475,7.50712785204173,NaN,0.00191548478111905,NaN,0.0024594674564054,0.259878405252166
15,0.0635060224071908,0.0324285062192981,NaN,NaN,NaN,16.1786642647164,1029.85554124189,NaN,232.841330909422,92.424129877564,108.006694766891,0.0102870314342679,NaN,NaN,NaN,NaN
20,0.0685104624279195,0.0740648467796609,61.3737798928983,0.128663387583434,45.2726428212312,NaN,823.403229194129,726.58730866041,276.984941714129,307.711927695084,279.739994821193,0.0290062053169631,NaN,0.00295878956618449,0.022447718509075,4.05912292944575
25,NaN,NaN,NaN,NaN,31.8752172181251,39.0830614006287,804.691919581365,872.317983916883,NaN,NaN,325.379440124323,NaN,0.00236411877956748,NaN,NaN,NaN
30,0.0484950293497985,0.0181703662481846,32.8730478097691,0.185084352114455,42.5230642727425,26.7521162364512,1065.61523605839,775.853984389568,895.927078723733,576.202854393455,NaN,0.0656029954720443,NaN,0.00177690732927059,0.0744609421606231,6.11486048572681
