t,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,0.000540824130080361,1.39956631387977e-05,36.1876023072197,0.00161286048596496,0.0930908631950959,0.0104621923375248,0,1.29268363913551,0,0,0
7.5,NaN,NaN,NaN,NaN,NaN,NaN,2.50892398001432,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,19.780891350391,NaN,NaN,1.90358670460582,NaN,NaN,NaN
8.5,0.247549446571566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,3.31417417271296,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000195956205103958,NaN,NaN
15,NaN,0.000666081946958911,29.6553581196263,0.207141911238735,14.2408040881758,NaN,64.5319188078794,31.7022356703613,NaN,0.00040131883129395,0.000835463591613756
20,0.187859194001407,NaN,NaN,NaN,NaN,8.51557526209088,NaN,NaN,NaN,NaN,NaN
25,0.230819182735903,NaN,NaN,NaN,26.2994441785864,NaN,255.264408734598,108.64251913041,0.0146358819597485,NaN,NaN
30,NaN,0.00441747913106935,11.8583175367712,0.222712327064696,NaN,9.46011758125191,323.04119569282,NaN,NaN,NaN,0.00094404871508474
35,0.16630866000385,NaN,NaN,NaN,36.3821250981906,NaN,NaN,299.408390261965,0.057070322540321,0.0013074337546029,NaN
40,NaN,NaN,15.2048338801589,NaN,NaN,11.4803251221319,735.63137820556,NaN,NaN,NaN,NaN
45,NaN,0.00815177499420025,NaN,0.163760381520092,26.7314643186601,NaN,NaN,346.565518571061,NaN,NaN,0.00124792714353126
50,0.171284145285359,NaN,NaN,NaN,NaN,12.6874357995174,389.879197443495,NaN,0.127680363717205,NaN,NaN
55,NaN,NaN,NaN,NaN,18.6126858411809,NaN,NaN,609.641618749635,NaN,0.000739587721154734,NaN
60,0.152758550451424,0.00602983720050257,21.7193486779825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00108794108995076
65,NaN,NaN,NaN,0.142496810480819,13.0846899932897,26.5846426307265,779.633210633103,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,472.106619567932,0.0738431176782731,NaN,NaN
75,0.067548069129635,NaN,26.8974307509344,NaN,NaN,NaN,NaN,NaN,NaN,0.000481340877444455,NaN
80,NaN,0.00526084597720954,NaN,0.299195219625015,9.65542664706735,9.17265436909115,385.871349244958,NaN,NaN,NaN,0.00105082075061042
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,559.227826243611,0.047892688052564,NaN,NaN
90,0.0659018103842745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,46.8935910813434,NaN,6.2433128014323,5.73131743782769,389.645272502446,NaN,NaN,0.00091180258351163,NaN
100,0.0621506031233935,0.0107612035488179,30.4111558092296,0.280666689090795,7.95962888854885,5.30277304621018,269.791096198257,882.953159897907,0.0535188905867871,0.000518779147862489,0.00065690271299683
150,0.068315744200172,0.0119322092470884,31.8816861221089,0.471351375157195,7.61767909505234,6.15813673445642,159.389344584716,320.826447049169,0.0381677000294085,0.000895887688925693,0.000568850290868099
200,NaN,0.0343379309855653,33.6902870442629,0.172736103388553,NaN,NaN,NaN,NaN,0.0359227549595537,0.000398671958680541,0.000532522077542189
250,NaN,0.0301206878947995,27.4870140431976,0.160168287338755,NaN,NaN,NaN,NaN,NaN,0.000812283955339076,NaN
300,NaN,NaN,25.0217041739705,0.163488250980967,NaN,NaN,NaN,NaN,NaN,0.000570306388323244,NaN
