t,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.000124923889883869,0.00011526480326805,88.7665639465319,0.000863230238285474,0.171044654894218,0.145157702981422,2.29682741533157,0.933571114559446,0,0.679219809435501,1.15784439313441,0,0,1.13127999878563e-05,0,0.00739970417517261
4.5,NaN,0.25784277762026,NaN,NaN,NaN,NaN,NaN,9.2702315905389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,NaN,NaN,10.2234851759066,66.0466958996627,NaN,NaN,1.81083371936209,NaN,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.06956044407099,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,0.0995825052713806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.611666000730834,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.91235401767496e-05,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,39.4658420673402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,0.194411187578316,NaN,NaN,NaN,NaN,NaN,105.759529266388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000730338624576209,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.403243831627402
10,0.140517088751772,NaN,42.1799462068811,0.139120532668375,NaN,14.2457220072845,549.70227542845,NaN,109.870968578822,25.5228263442147,8.0084193934179,NaN,NaN,NaN,0.00329334306344887,NaN
15,NaN,0.0818694741535223,NaN,NaN,54.4279735013202,23.9601462689164,594.746018461514,425.303125999616,240.114619761925,191.980828403896,NaN,0.00884320284818545,0.00180720035801832,NaN,NaN,NaN
20,0.0916117603452367,0.0346237852718684,33.3205572775719,NaN,33.8309816080604,16.8070649877321,677.740722208467,561.750791247532,NaN,398.183102634901,157.352477788823,0.0254974438721818,NaN,0.00230742319767046,NaN,3.80285474489725
25,0.0681831792552488,0.0165986817732874,NaN,0.184169092768494,NaN,NaN,NaN,844.442454921085,1157.68162059308,NaN,422.693724097156,NaN,0.00291992004082277,NaN,0.0251154324609883,NaN
30,NaN,0.0140267473394339,NaN,NaN,49.2079750992058,23.6986415170938,1257.30363157609,1038.07109033577,664.466965409864,752.877558145774,NaN,0.0667224457044275,NaN,0.00100517430466796,NaN,10.1413209381075
35,0.0263284209603696,NaN,58.4590887459066,0.309581687125584,NaN,23.5640015464799,547.296601145296,1062.16817695056,788.660850150095,891.441679794632,750.105065928172,NaN,NaN,NaN,0.0399262528119482,NaN
40,0.0605672558817268,0.0143241715343723,NaN,NaN,19.5816726263387,NaN,NaN,NaN,NaN,NaN,1129.32759766531,0.129428051209661,0.0011696930434603,0.0011025344166234,NaN,14.8375701330544
45,NaN,NaN,NaN,NaN,NaN,24.3405750765948,582.361035189174,901.804962545206,1388.24037091718,1281.01870656546,NaN,NaN,NaN,NaN,0.0556350014712808,NaN
50,0.046931824485662,0.0061946958832203,26.0197749623418,0.173959117430871,21.8357965334552,NaN,1240.68374749549,738.156249731387,NaN,NaN,1080.92386420754,0.146980762165436,NaN,0.00125513990922343,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,5.48115133383576,NaN,NaN,1179.69225722652,397.090420525848,NaN,NaN,0.00317051469655947,NaN,NaN,17.906972346943
60,0.0413947108604684,0.0145158849875039,66.0020231486719,NaN,15.5394096987389,NaN,NaN,735.660725208726,NaN,NaN,NaN,0.201691172282796,NaN,NaN,0.102542459009764,NaN
65,NaN,NaN,NaN,0.544357623932848,NaN,11.3559169493719,485.488505537627,NaN,599.479730751085,737.555739443929,756.387242349022,NaN,NaN,0.00130381749465157,NaN,24.7778042203985
70,NaN,NaN,NaN,NaN,16.3644766189681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,0.0632547381045687,NaN,NaN,NaN,NaN,11.1660788666844,231.84830227226,627.452797045545,NaN,670.905389702907,430.469169975087,0.109992759666067,0.00191280557717823,NaN,NaN,NaN
80,NaN,NaN,35.7437462828051,0.415368858063567,NaN,NaN,NaN,NaN,981.562817169459,NaN,NaN,NaN,NaN,0.000631551548980218,0.087521956670835,NaN
85,NaN,NaN,NaN,NaN,11.2306987016185,NaN,NaN,269.512627823822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66682947261875
90,0.0395962446081079,NaN,NaN,NaN,NaN,8.41189753170304,385.980336160068,NaN,NaN,NaN,474.610431870026,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,410.897352545552,211.359544586829,NaN,0.0541009902274762,0.000439206939747733,NaN,0.0679167899866755,NaN
100,0.0312250744767241,NaN,51.5103860757681,0.397870914463579,4.58073916558818,5.80997814044659,473.077717204518,274.166470018792,409.310157204835,346.601892735334,368.280376379817,0.0365736682880743,0.000387486750566344,0.00094724796300979,0.0447442467255263,11.5017634245761
150,NaN,NaN,43.0574705778468,0.165055974313738,5.95988927433636,NaN,NaN,NaN,NaN,NaN,136.709291840481,NaN,0.000218365314217981,0.000251331302695518,0.0197098948991706,6.77542713417049
200,NaN,NaN,51.8394540695283,0.345057083529521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00013770222684704,NaN,0.0274489372250482,5.91253938958936
