t,epo_level,CISnRNA3_Obs,CISnRNA4_Obs,CISRNA_Obs
31,2.5e-09,29.1915366664581,27.5515075400389,0.00155911801147714
31,2.5e-09,39.293533688374,62.6188499418741,0.0013460699519785
31,2.5e-09,52.9108419773286,31.4721961432739,0.00242058771028952
31,2.5e-08,342.740313493417,210.042457795468,0.0414195776163382
31,2.5e-08,345.863920034683,213.53320322635,0.0367128340540814
31,2.5e-08,663.722021693502,328.738964330968,0.0260689484164103
31,1.25e-07,613.874961718974,1738.80628918408,0.140293097862864
31,1.25e-07,783.157081446792,600.01636984918,0.206927668411055
31,1.25e-07,1056.01125945772,881.902465551801,0.0672715715780546
31,2.5e-07,834.960790700356,569.79015875318,0.127055192495099
31,2.5e-07,971.432431625392,1834.99642725101,0.249279179394824
31,2.5e-07,1572.66211825502,1467.8285829311,0.0834833251456592
31,1.25e-06,978.047376967378,871.788175202743,0.110261688842198
31,1.25e-06,1420.98118299865,1083.11395282665,0.140299555920752
31,1.25e-06,1990.55387870658,1172.52389029718,0.225153787787982
31,2.5e-06,1182.24101455584,930.509756374423,0.19315628965998
31,2.5e-06,1753.67608068213,1137.53385542036,0.124677660584382
31,2.5e-06,2402.9207865778,1165.71633290593,0.209073442345226
