t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA4_Obs,SOCS3nRNA5_Obs,SOCS3_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,STAT5_Obs,Compound_1_Obs
0,2.71891630134327,6.89352832832662e-05,0.000142913683563172,15.0860955016871,0.00125861424176917,0.104644660778284,0.0814913430895309,1.03805145294628e-17,1.01601929197551e-17,8.68772986756816e-18,5.72010806305964e-18,0,0.00010907830154237,86.9122944790656,91.5624644868734
6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.27608800105026e-17,NaN,4.29027241780026e-18,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.40734248989399e-17,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.5373856418414e-18,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,0.644397197413971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.952581386359209,NaN
15,2.5099234169645,0.0659934132808732,NaN,15.2305216255929,NaN,151.82538675725,30.4904375873801,1.02699908320785e-17,6.90510327044007e-18,6.03044494459532e-18,7.89433979222742e-18,0.00776418441347905,0.219510303692615,NaN,2.59911701075924
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.42238272101422e-18,NaN,1.78145505130571e-17,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,0.106355187423324,NaN,0.36739318288654,NaN,NaN,NaN,9.9483179467234e-18,NaN,9.13086599136073e-18,NaN,NaN,18.1429894472641,NaN
30,2.92984161537754,0.0875359116520247,NaN,33.2852503684956,NaN,84.8727034576243,47.5340639271799,1.30200759100175e-17,NaN,1.5232810466748e-17,NaN,0.00882845881190508,0.0822733515587578,NaN,7.18578300464907
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.59762263250128e-17,1.17574180456426e-17,6.99464255488411e-18,1.45663237386718e-17,NaN,NaN,26.3839457486071,NaN
40,NaN,NaN,0.0812989171708249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,0.059609254237105,NaN,NaN,NaN,50.8351928975854,47.4254420270611,1.16690074769565e-17,NaN,1.3652679488996e-17,1.35587650106585e-17,NaN,0.0744723140234277,NaN,NaN
50,2.94402401966888,NaN,NaN,18.3945339993871,0.187444026545564,NaN,NaN,NaN,6.22849005492766e-18,NaN,NaN,0.00954392249765768,NaN,31.1406290407201,23.2003425911454
55,NaN,NaN,0.0629784141673528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,39.0382206174228,43.2570249653314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,0.0644866769053008,NaN,21.1388112053753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0558052577101791,84.3633508664268,48.2183049130823
70,3.51441107732795,NaN,0.0356680076241325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0200219745820738,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,57.0932987136295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,0.23147300319998,NaN,42.9420217139774,NaN,NaN,NaN,NaN,NaN,NaN,40.2124295716269,NaN
85,NaN,0.0592026928065686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0559020734902831,NaN,23.0140926951943
90,2.25697865471987,NaN,0.0252521882546261,30.7563484040035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0232210147325633,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,76.7213105103408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.0287017605517,NaN
100,3.11355700297753,0.0373354304676983,0.0389502981644063,15.4666275251048,0.474544482480676,30.2071715675397,36.9000691027465,NaN,NaN,NaN,NaN,0.00689235601338784,0.0373142011015175,36.5227631209171,63.8989989510883
150,1.77637703400326,0.093465478761033,0.031988290352322,28.9542753650517,0.225428023875322,28.0708597805173,15.0436430444513,NaN,NaN,NaN,NaN,0.00813530376071816,0.0854550309368822,49.2574038778839,110.651052537324
200,3.8697780649469,0.049640540716688,NaN,19.3682407266766,0.230793925702341,28.6049133876157,38.3062540763572,NaN,NaN,NaN,NaN,0.00661327274669381,0.0504571599014337,77.5625690492781,57.1522330965898
250,2.31145388833156,0.144652811668073,NaN,11.2287034856276,0.462515453212147,55.7149719839178,13.954271608505,NaN,NaN,NaN,NaN,0.0144973339254351,0.0797146751763527,28.7872750882203,59.8996037047222
300,NaN,NaN,NaN,NaN,0.241194525356918,45.3481101476056,36.6276572427654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.8765380847139
350,NaN,NaN,NaN,NaN,0.378773763844881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,0.50520659272924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
