t,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,9.89305550437035e-05,1.1990902265642e-05,13.0331179155447,0.000137617021858394,0.00148910265742554,0.000487889692178272,0,0.11164970891037,0,0,0
9,NaN,NaN,NaN,NaN,NaN,NaN,0.0637600376805549,NaN,NaN,NaN,NaN
9.5,NaN,0.0142970321899848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.32830223950855e-06,2.99354257384292e-06
10,NaN,NaN,NaN,NaN,0.259530004003017,0.0457572387833339,NaN,0.194575374458459,NaN,NaN,NaN
15,0.0651231632702619,NaN,11.0013312849025,0.0204141507660809,NaN,NaN,NaN,NaN,1.69712693249482e-05,NaN,NaN
20,NaN,0.0284772073414168,NaN,NaN,1.03821477405099,0.348720481979337,2.66087669061916,NaN,NaN,1.79625114217285e-05,3.21747798166376e-05
25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1868878695523,NaN,NaN,NaN
30,0.100278141634325,0.0136849512110702,13.3667683782218,NaN,NaN,0.30967662132435,16.0318691085092,NaN,0.000626351805577983,2.38720625210811e-05,2.83698742011385e-05
35,NaN,NaN,NaN,0.0629878117745582,0.903294301721401,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,10.898416732341,12.1532036987285,NaN,3.82398145636456e-05,4.12294840909297e-05
45,0.0252314151511231,0.00470459420848967,31.4368824997184,NaN,0.877104202515703,0.491529192330958,NaN,NaN,0.00216367165584674,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,19.4559790288421,NaN,NaN,NaN,3.30343545936259e-05
55,NaN,NaN,NaN,0.0776265599539134,NaN,0.336978380945603,NaN,11.4033282188619,NaN,3.74583405699193e-05,NaN
60,NaN,0.00680318604422654,NaN,NaN,0.411987878089747,NaN,NaN,NaN,NaN,NaN,NaN
65,0.0230138753744696,NaN,13.2144885295007,NaN,NaN,NaN,22.5902431220281,NaN,0.0026720720081311,6.1140342558973e-05,6.52921404578215e-05
70,NaN,NaN,NaN,NaN,0.71992822694427,0.458465124782708,NaN,40.1836053047155,NaN,NaN,NaN
75,NaN,0.00285914141967381,NaN,0.0610987670388625,NaN,NaN,55.2633950696018,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.16169900566843e-05,3.6456999841999e-05
85,0.0249818614544884,NaN,26.5507084713204,NaN,0.504582268073695,0.441842938891231,NaN,NaN,0.00319360021932602,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.7382758864767,NaN,NaN,NaN
95,NaN,0.00407953117806054,NaN,0.111033505625601,NaN,NaN,19.314246997791,NaN,NaN,NaN,NaN
100,0.0335444158812947,0.00255265326483105,15.668857606217,0.119194087140768,0.394137369210491,0.392611843541652,29.6233591587226,16.2216285945151,0.00999957970607331,2.49438448178833e-05,1.53927399101094e-05
150,0.0367432413545452,NaN,15.4797833486221,0.0981024035841563,0.35628545401036,0.43173207509943,20.3169752592434,21.0196460348817,0.00266247659929665,2.94293546044121e-05,3.37854842224858e-05
200,0.0199337267563992,NaN,13.6108913884419,0.148413840068637,0.363165116016446,0.131089474483777,10.6833359081491,17.8540730501068,0.00330000112468535,2.94746253415668e-05,3.52701556267913e-05
250,NaN,NaN,43.1550477876143,0.143668505939699,0.459313586181622,NaN,NaN,14.9631945741437,0.00194629932294209,NaN,NaN
300,NaN,NaN,26.9435511331013,0.113797269160279,NaN,NaN,NaN,NaN,NaN,NaN,NaN
