t,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,0.00072775942285332,7.10085010154603e-06,19.1776097973672,0.000742701196609013,0.0731237076056761,0.0209076518822501,0,0.946099791548339,0,0,0
7,NaN,NaN,NaN,NaN,NaN,NaN,1.74381271478417,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,20.8015771261483,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.74952193016227,NaN,NaN,NaN
9.5,0.299586300842006,NaN,NaN,NaN,NaN,3.08859510658775,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.68611950714755e-05,NaN,NaN
15,NaN,0.000264461481811379,23.291459656137,0.137002976024933,12.3472874229121,NaN,65.1193275819181,NaN,NaN,NaN,0.000425577262622798
20,0.210006446352353,NaN,NaN,NaN,NaN,8.38068380591421,262.789641921824,88.9355107848806,0.00634668035855149,0.000907265210329464,NaN
25,NaN,NaN,NaN,0.145638793596086,50.3000611273537,NaN,NaN,NaN,NaN,NaN,NaN
30,0.112265490625242,0.00333931835293099,31.8551035093407,NaN,NaN,20.0026314953102,642.298314022882,520.607103356872,0.028422651906416,NaN,0.000935350657586629
35,NaN,NaN,NaN,NaN,20.9036856715519,NaN,NaN,NaN,NaN,0.00212831752325931,NaN
40,0.145269966081746,NaN,NaN,0.461185205311136,NaN,27.6262452284929,503.177421301633,219.733963967315,NaN,NaN,NaN
45,NaN,0.00552371688002415,36.0923201619978,NaN,18.0283077879823,NaN,NaN,NaN,0.149419325566632,NaN,0.00119719844772667
50,NaN,NaN,NaN,NaN,NaN,29.93992617052,1031.33567097124,731.554322186015,NaN,NaN,NaN
55,0.160715491628212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0866368035451532,0.000638834502518869,NaN
60,NaN,NaN,NaN,0.0818571255937881,18.0777413569759,NaN,NaN,NaN,NaN,NaN,NaN
65,0.140628527083517,0.00381508308187403,13.5086917043575,NaN,NaN,15.0049681483228,670.989494315313,617.289238304988,NaN,NaN,0.00140975816987779
70,NaN,NaN,NaN,NaN,17.5734143841544,NaN,NaN,NaN,0.0996559952355666,NaN,NaN
75,NaN,NaN,NaN,0.18445300845063,NaN,NaN,NaN,NaN,NaN,0.000747791595616414,NaN
80,NaN,0.00718601260598428,NaN,NaN,NaN,7.53209540472146,446.705575712473,606.155346248987,NaN,NaN,NaN
85,0.103584471071384,NaN,12.7819044261633,NaN,11.2907424271928,NaN,NaN,NaN,NaN,NaN,0.000837682722629073
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0721428915167555,NaN,NaN
95,NaN,NaN,NaN,0.2586547739542,NaN,NaN,229.494517702372,NaN,NaN,NaN,NaN
100,0.0571674430590498,0.0184687566382764,12.6235187151302,0.250628801098733,7.58574423107394,6.72007920727282,265.75858638185,364.303893863773,0.0723218196867,0.00134380445293443,0.000704785397704341
150,0.0546128045409777,0.0105325530890311,19.84740999923,0.472754943194715,6.89564291335908,9.14702212945925,384.785210353421,188.828235480721,0.0233786239235414,0.000341379876409909,0.000447063586385264
200,0.0557249244732352,0.0337694530304656,19.595360700112,0.30909308660575,13.7256878932439,5.93730954607158,NaN,NaN,NaN,0.000330764184579006,0.000529431205286636
250,NaN,0.0123281247910063,13.8048844387669,0.241233203866936,NaN,NaN,NaN,NaN,NaN,0.000491704052503645,NaN
300,NaN,NaN,17.6702608830222,0.226428623138742,NaN,NaN,NaN,NaN,NaN,0.000733299821524022,NaN
