t,EarlyEffector_Obs,LateEffector_Obs,Pathogen_Obs
0,12.5614196167815,14.5950888623484,1.36456880969795
2.5,NaN,NaN,2.71214153840943
4,999.239797394875,449.600917382185,NaN
5.5,NaN,NaN,2.93963678994308
7.5,15285.5737704385,NaN,NaN
8,NaN,12286.2358741191,1.10317192426853
10,14827.5533457947,9294.9730148551,0.243877320352184
15,1429.55610610084,12581.8227318098,0.00897421594600874
20,151.297503189296,6391.19181223368,0.000489873099672901
25,30.5138728340258,NaN,0.000216604924374097
30,NaN,3915.5680905099,0.000102465275702015
35,16.5982873958019,1869.69256382455,2.35886306886266e-05
40,10.4719847630319,NaN,NaN
45,NaN,1174.48744336257,NaN
50,6.95137948985684,NaN,NaN
55,8.31980397575829,1468.89726509096,NaN
65,NaN,1292.69974817535,NaN
70,14.6847068843133,NaN,NaN
