t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,0.85327450134998,-0.00748554847787328,70.9792693616021
15,21.6529565310834,NaN,113.903238687963
25,NaN,0.324232017090217,NaN
30,NaN,NaN,102.790425547289
35,21.8035747868415,NaN,NaN
50,21.0421787777979,0.32759427542611,107.508357016197
65,NaN,NaN,103.749283034663
70,21.2197504408845,NaN,NaN
75,NaN,0.27286525386805,NaN
85,NaN,NaN,104.030556279042
90,18.0612329176096,NaN,NaN
100,17.2703292733849,0.253661558457386,99.094551063297
150,13.6239532185118,0.250658055716343,120.520036029584
200,14.5144627039589,0.173270141331821,98.5698646454981
250,14.6569350677692,0.181143386938126,96.1810031125582
300,13.272538916717,0.189847270884401,94.4476818844562
350,NaN,0.192487271640499,NaN
450,NaN,0.197385709600144,NaN
