t,input_il6,Compound_3_Obs
600,0.1,86.9135412000935
600,0.1,69.6729221788165
600,0.5,62.4680510612226
600,0.5,78.1401012431681
600,1,81.5626072116962
600,1,80.9103665842994
600,2.5,85.0506981107337
600,2.5,87.6754011388842
600,5,111.316556376596
600,5,95.4970589891435
600,10,77.8733559514122
600,10,81.0436676354881
600,25,107.506621987195
600,25,99.9465643309327
600,50,64.7827796523232
600,50,84.791233238367
600,100,93.2721752614193
600,100,93.6795968336202
600,500,108.625526366066
600,500,97.9701713472064
