t,pApA_Obs,pBpB_Obs,nucpBpB_Obs
0,8.38082584704757e-10,1.08006312141166e-09,0
7,3.46593233705503e-06,NaN,NaN
7.5,NaN,1.19584395740259e-06,NaN
15,2.03921652216544e-06,4.34636460082772e-07,NaN
20,1.01355024208902e-06,NaN,45.1361751457266
25,NaN,2.31600879217965e-07,NaN
30,5.12900982136107e-07,NaN,NaN
35,NaN,1.1735724764371e-07,NaN
40,4.91607044922265e-07,NaN,45.1487170732487
45,NaN,8.76879186537564e-08,NaN
50,3.22234294234817e-07,NaN,NaN
60,NaN,4.63686258429655e-08,NaN
65,2.65163599391853e-07,NaN,39.4228241254666
75,1.64452013359485e-07,3.32738340619422e-08,NaN
90,NaN,NaN,40.5875604849377
100,NaN,NaN,31.06087768172
150,NaN,NaN,30.429653973421
200,NaN,NaN,20.8354790442274
250,NaN,NaN,19.2923075496937
300,NaN,NaN,15.5255177664428
350,NaN,NaN,12.6547997843241
450,NaN,NaN,9.77922418334675
