t,epo_level,Compound_1_Obs,Compound_3_Obs
6,2.5e-09,0.0823640272256784,0.000218477230640232
6,7.905e-09,-0.0534979907460449,0.000101402197694324
6,1.25e-08,-0.0152167813526062,8.36170901820079e-05
6,1.25e-08,0.0345507877377557,-5.53530260847376e-05
6,1.25e-08,0.044273517221943,-0.000330258761530024
6,1.75e-08,-0.127671271182122,0.000191599628260277
6,1.75e-08,0.0152924162089607,0.000352405726803061
6,1.75e-08,0.0804613307935433,0.000288111130533863
6,2.5e-08,0.0262427851519577,-5.02918851237297e-05
6,3.95e-08,0.170514277520367,9.76612563710661e-05
6,7.9e-08,0.0771355128506272,0.000740055363152829
6,1.25e-07,0.286544935076074,0.000741699882303603
6,1.25e-07,0.289757957670539,0.000682681231175501
6,1.25e-07,0.410755675678819,0.000903469844731698
6,1.7675e-07,0.380645701080268,0.00169517226279745
6,1.7675e-07,0.423838389226422,0.00106739992669017
6,1.7675e-07,0.455207961312389,0.00140139183562677
6,2.5e-07,0.546112599572948,0.000910554750886717
6,2.5e-07,0.555430639331225,0.00153685772551529
6,2.5e-07,0.600743631371053,0.00126316340424197
6,7.905e-07,1.03828814712101,0.00331657524425656
6,2.5e-06,1.25877812891538,0.00431522306160154
6,2.5e-06,1.27253015805946,0.00456539525605282
6,2.5e-06,1.29063140177536,0.00475036272912149
