t,EpoRJAK2_Obs,nSTAT5_Obs,Compound_1_Obs
0,1.37224102747581,-0.382560912261908,0.384930567625948
10,1.11233456536053,NaN,NaN
15,NaN,NaN,4.06489120540567
20,NaN,7.79796653856194,NaN
25,1.02639597931884,NaN,NaN
35,1.25032389766324,NaN,10.8668463228528
45,NaN,12.1957811068509,NaN
50,0.991517187907794,NaN,NaN
55,NaN,NaN,10.9939373322666
65,0.945901428732306,12.3936066951719,NaN
70,NaN,NaN,10.6578917688193
85,1.17053286666397,NaN,NaN
95,NaN,12.3421398780527,10.4232369416548
100,1.07123517965396,10.2610188881141,11.1014008682125
150,1.21006136340142,10.5126382337778,14.0210905417647
200,NaN,15.690290255352,13.1249923873233
250,NaN,13.3482078346597,13.9179189662576
300,NaN,14.2140241358474,12.3372216729617
350,NaN,10.8468341961578,14.498622666108
450,NaN,12.7020563912614,NaN
