t,Compound_4_Obs,Compound_6_Obs
0,0.311238120562809,0.0891122363762978
4,0.248043942656604,NaN
8,0.0240244955144745,NaN
10,-0.106712540891968,NaN
15,-0.363766389059945,NaN
20,-0.407017460534154,-0.203292419698884
25,-0.194395196701242,NaN
35,-0.471708424506676,NaN
40,-0.0464784611702714,-0.333003451633039
50,0.136433402377959,NaN
60,-0.166476714011891,0.00039697935241483
70,-0.112220461024044,NaN
85,NaN,0.0820184538288062
100,NaN,0.0648006572650243
150,NaN,-0.0768160958483193
200,NaN,-0.0584840712117375
250,NaN,0.166566104736067
300,NaN,0.0385591525406246
