t,EpoRJAK2_Obs,Compound_1_Obs
0,1.51786555059117,-0.244783659757324
10,0.826392299601283,NaN
15,NaN,3.849744684257
20,1.36075768197621,NaN
35,1.57820513214469,10.5096869698196
45,1.11358593621406,NaN
50,NaN,11.1002844263006
60,1.09192894264909,NaN
70,NaN,10.3836896551155
75,1.02800822532064,NaN
90,NaN,8.77294908482427
95,1.14438890358812,NaN
100,0.925511918783373,10.0414014158323
150,0.931455647475337,9.33218824788113
200,NaN,16.5528467261747
250,NaN,10.0922042173176
300,NaN,10.9495671989839
350,NaN,12.0632168605386
