t,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.964913698650195,1.13485245161288e-10,0.000976068303186776,0,0
0.095,0.516729800701916,NaN,NaN,NaN,NaN
0.2,0.221207136084441,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,0.565919064560706,NaN
0.3,0.193535325247779,NaN,0.0611429963217326,NaN,NaN
0.4,NaN,NaN,NaN,NaN,0.163952725853189
0.45,0.0512301192995574,NaN,NaN,NaN,NaN
0.55,NaN,NaN,NaN,0.572372868002837,NaN
0.6,0.0129104655605737,NaN,NaN,NaN,NaN
0.65,NaN,NaN,0.111729948505466,NaN,NaN
0.75,0.00900054016251061,NaN,NaN,NaN,NaN
0.8,NaN,NaN,NaN,NaN,0.422285462892831
0.85,NaN,NaN,NaN,0.523064024690859,NaN
0.95,0.0025856556102441,NaN,NaN,NaN,NaN
1,NaN,NaN,0.123132798470737,0.471049965869495,NaN
1.5,NaN,NaN,0.150025534075229,0.230997591522187,0.448280280884893
2,NaN,NaN,0.162560599501803,0.365504491351424,0.224287548579369
2.5,NaN,5.27615181757303e-08,0.20890292229603,0.45805541614107,0.36619693979356
3,NaN,NaN,0.201028871191508,NaN,0.446477138729184
3.5,NaN,NaN,NaN,0.499716144486941,NaN
4,NaN,NaN,NaN,0.32739138651343,0.493907029965486
5,NaN,2.66907561091043e-09,NaN,NaN,NaN
8,NaN,3.56897352925483e-10,NaN,NaN,NaN
10,NaN,3.03673972605082e-10,NaN,NaN,NaN
15,NaN,3.08595874490316e-10,NaN,NaN,NaN
