t,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,1.00056910170583,1.22626418257524e-11,0.000632497350982073,0,0
0.085,0.116366099504369,NaN,NaN,NaN,NaN
0.15,0.0333245958278851,NaN,NaN,0.631628575750297,NaN
0.25,0.00221442538332753,NaN,NaN,NaN,NaN
0.3,NaN,NaN,NaN,0.609145381092613,NaN
0.35,0.00140404489704548,NaN,NaN,NaN,0.139912869630629
0.4,NaN,NaN,0.307584347151713,NaN,NaN
0.5,0.00131182473089635,NaN,NaN,0.549262525049511,NaN
0.65,0.00115200572977002,NaN,NaN,NaN,NaN
0.7,NaN,NaN,NaN,0.549064436273031,0.229600893638336
0.8,0.000810881048641477,NaN,0.411114978364742,NaN,NaN
0.9,NaN,NaN,NaN,0.341082477108768,NaN
0.95,0.00104693044902493,NaN,NaN,NaN,NaN
1,NaN,NaN,0.362065187694955,0.413681728779059,0.201301288176545
1.5,NaN,NaN,0.330151334357508,0.36746002699864,0.209703222527829
2,NaN,1.91639518265871e-08,NaN,0.325430962642391,0.237138999432719
2.5,NaN,NaN,0.419048549166091,0.220119846815279,0.25889721646699
3,NaN,NaN,0.52837116567285,0.290099567226421,NaN
3.5,NaN,4.32505415601915e-09,0.402981324903438,NaN,0.274356476487399
5.5,NaN,3.38049116291797e-10,NaN,NaN,NaN
8,NaN,1.0563351548829e-10,NaN,NaN,NaN
10,NaN,8.53421641404822e-11,NaN,NaN,NaN
15,NaN,7.18256280206488e-11,NaN,NaN,NaN
20,NaN,5.76101060641131e-11,NaN,NaN,NaN
