t,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,1.6098554437067,7.30969806915429e-12,0.00100524483927091,0,0
0.1,0.361170062513502,NaN,NaN,NaN,NaN
0.2,NaN,NaN,NaN,0.678563059954042,NaN
0.25,0.0680644102407636,NaN,NaN,NaN,NaN
0.4,0.0151862939318526,NaN,NaN,0.863124614654744,0.162977990119664
0.45,NaN,NaN,0.0756375316128573,NaN,NaN
0.55,0.00469977213955098,NaN,NaN,NaN,NaN
0.6,NaN,NaN,NaN,0.76329349461397,NaN
0.75,0.00135494570222554,NaN,NaN,NaN,NaN
0.85,NaN,NaN,NaN,0.587925160579253,0.480912644691167
0.95,0.00119815621488187,NaN,NaN,NaN,NaN
1,0.00086205739420112,NaN,0.149429236440268,0.471837276764234,NaN
1.5,NaN,NaN,0.210373841956214,0.354102867130455,0.405887690392629
2,NaN,NaN,0.2330371956858,0.496482517115037,0.437382994869216
2.5,NaN,3.72493572474879e-08,NaN,0.54645899238392,0.341095891256903
3,NaN,NaN,0.162650903121605,0.445365684981342,NaN
3.5,NaN,NaN,NaN,0.383178451600647,0.40383938164796
4,NaN,NaN,0.162794174688461,NaN,NaN
5.5,NaN,9.38712234372598e-10,NaN,NaN,NaN
8.5,NaN,1.14968924071657e-10,NaN,NaN,NaN
10,NaN,1.13221203929898e-10,NaN,NaN,NaN
15,NaN,1.03801982239891e-10,NaN,NaN,NaN
