t,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,1.27642583153521,1.13389011573494e-11,8.27617677653832e-05,0,0
0.095,0.13857995717832,NaN,NaN,NaN,NaN
0.15,NaN,NaN,NaN,0.716392211224977,NaN
0.2,0.0139761055569604,NaN,NaN,NaN,NaN
0.3,0.00345215325732528,NaN,NaN,0.94916013658547,0.280381234043495
0.4,0.0014566862876053,NaN,NaN,NaN,NaN
0.45,NaN,NaN,NaN,0.488973342068658,NaN
0.55,0.000775008758263523,NaN,NaN,NaN,NaN
0.65,NaN,NaN,NaN,0.469377929073714,0.451872533957855
0.7,0.00105697894675318,NaN,NaN,NaN,NaN
0.85,NaN,NaN,NaN,0.643847137052502,NaN
0.9,0.00110591821620095,NaN,NaN,NaN,NaN
1,0.000765778154423587,NaN,NaN,0.423849622356194,0.689374605091334
1.5,NaN,NaN,NaN,0.388727006995059,0.754494170925939
2,NaN,2.91774665476549e-08,NaN,0.412765792158006,0.379724381632749
2.5,NaN,NaN,NaN,0.533163047572746,0.549676638038266
3,NaN,NaN,NaN,0.512832618735822,0.466721236997885
3.5,NaN,NaN,0.0308148468342574,NaN,NaN
4,NaN,2.92562106889741e-09,NaN,NaN,NaN
6,NaN,2.52851919309464e-10,NaN,NaN,NaN
7.5,NaN,NaN,0.0317886196239557,NaN,NaN
8,NaN,6.91082121477805e-11,NaN,NaN,NaN
10,NaN,3.62120938372828e-11,0.0333972337997135,NaN,NaN
15,NaN,4.81975008509679e-11,0.0416121681311988,NaN,NaN
20,NaN,4.11605969052831e-11,NaN,NaN,NaN
