t,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.796760502014859,6.42210389172005e-12,0.000702233227972477,0,0
0.085,0.0505092964997431,NaN,NaN,NaN,NaN
0.2,0.00399832241933372,NaN,NaN,0.28497406802312,NaN
0.3,0.00130849317397239,NaN,NaN,NaN,NaN
0.35,NaN,NaN,0.379136561670021,NaN,NaN
0.4,0.000885457037215944,NaN,NaN,0.262909721698473,0.0601335239296647
0.55,0.00131052555081959,NaN,NaN,NaN,NaN
0.6,NaN,NaN,NaN,0.275618256095049,NaN
0.7,0.00136743644681083,NaN,NaN,NaN,NaN
0.75,NaN,NaN,0.556727420956102,NaN,NaN
0.8,NaN,NaN,NaN,0.176757482459581,0.116099811470499
0.9,0.000885145595834956,NaN,NaN,NaN,NaN
1,NaN,NaN,0.602461921092276,0.275030938389038,NaN
1.5,NaN,4.75944359006648e-08,0.558069356630501,0.204260544033982,0.0802540815009116
2,NaN,NaN,0.79323548224831,0.213696094768539,0.0927315186641496
2.5,NaN,NaN,NaN,0.205954751963885,0.0947668446988361
3,NaN,5.65239081432574e-09,0.731036311221895,0.185557511081437,0.0981636014201613
3.5,NaN,NaN,0.685321588596377,NaN,0.0712293875783438
4,NaN,NaN,NaN,0.276126377881812,NaN
4.5,NaN,8.95127274009672e-10,NaN,NaN,NaN
6.5,NaN,1.46814250044749e-10,NaN,NaN,NaN
8.5,NaN,7.20598985145916e-11,NaN,NaN,NaN
10,NaN,3.66633602949207e-11,NaN,NaN,NaN
15,NaN,5.10500097849146e-11,NaN,NaN,NaN
20,NaN,5.07378161815714e-11,NaN,NaN,NaN
